LED int,mask,module,value
4000,1,C1(1),3.502460974506917
4000,1,C1(2),4.178696469516062
4000,1,C2(1),1.990093523204688
4000,1,C2(2),1.7574397866345768
4000,1,C3(1),136.244227309537
4000,1,C3(2),
4000,1,C4(1),2.8614593407379063
4000,1,C4(2),2.541729594066514
4000,1,C5(1),5.958514894424144
4000,1,C5(2),8.121644465460633
4000,1,C6(1),1.3642384528995872
4000,1,C6(2),1.6881750161082902
4000,1,C7(1),1.8056918684058707
4000,1,C7(2),1.910614495147586
4000,1,C8(1),1.8810274976081216
4000,1,C8(2),2.454251632149766
4000,1,M1(1),108.4059714264568
4000,1,M1(2),98.13676285010348
4000,1,M2(1),
4000,1,M2(2),20.76921741932776
4000,1,M3(1),0.4833792425634318
4000,1,M3(2),0.52719306452969
4000,1,M4(1),4.544131232227582
4000,1,M4(2),0.4385312355459646
4000,1,M5(1),1.4298511087883818
4000,1,M5(2),1.1895261255597804
4000,1,M6(1),1.3777807339725678
4000,1,M6(2),1.0703955480914822
4000,1,M7(1),0.7537365319609578
4000,1,M7(2),0.8048170126166154
4000,1,M8(1),1.365287978007123
4000,1,M8(2),1.2940989920933166
4000,2,C1(1),1.6466921893264423
4000,2,C1(2),1.8880951542018447
4000,2,C2(1),1.3376235649362511
4000,2,C2(2),1.4685457796596186
4000,2,C3(1),5.791709782670918
4000,2,C3(2),
4000,2,C4(1),1.946108777651252
4000,2,C4(2),1.8284012310096256
4000,2,C5(1),13.68543473778552
4000,2,C5(2),16.089997104845153
4000,2,C6(1),1.859643725546693
4000,2,C6(2),2.715016819997312
4000,2,C7(1),6.543099480457157
4000,2,C7(2),8.60476801027449
4000,2,C8(1),4.568675705141658
4000,2,C8(2),6.165034631903328
4000,2,M1(1),1.97024235043668
4000,2,M1(2),1.759629143583676
4000,2,M2(1),
4000,2,M2(2),1.5788627449814734
4000,2,M3(1),0.1964883456350077
4000,2,M3(2),0.259772617657538
4000,2,M4(1),4.954589355621732
4000,2,M4(2),0.2087419942153062
4000,2,M5(1),103.49574555654826
4000,2,M5(2),82.74017392394744
4000,2,M6(1),11.667613073854229
4000,2,M6(2),9.612296775337684
4000,2,M7(1),1.1374827113353594
4000,2,M7(2),1.1298227060917236
4000,2,M8(1),1.5932451477964598
4000,2,M8(2),1.4956613110073966
4000,4,C1(1),18.918391173190955
4000,4,C1(2),23.08312164012436
4000,4,C2(1),12.530742258115016
4000,4,C2(2),11.642678464788082
4000,4,C3(1),195.5328927307963
4000,4,C3(2),
4000,4,C4(1),40.68706824503995
4000,4,C4(2),40.493784289810655
4000,4,C5(1),13.51872415265109
4000,4,C5(2),16.526464892127073
4000,4,C6(1),5.252682309399994
4000,4,C6(2),7.556343727312226
4000,4,C7(1),12.875301988837032
4000,4,C7(2),15.13106531406723
4000,4,C8(1),4.1914576163826105
4000,4,C8(2),5.578059619194224
4000,4,M1(1),8.627571308045193
4000,4,M1(2),9.341420347912202
4000,4,M2(1),
4000,4,M2(2),3.926564020316758
4000,4,M3(1),0.2200841973637786
4000,4,M3(2),0.2891690533382121
4000,4,M4(1),5.188068733755789
4000,4,M4(2),0.2294073544031283
4000,4,M5(1),3.729446519930669
4000,4,M5(2),3.1470193963990734
4000,4,M6(1),5.351756654134813
4000,4,M6(2),4.004577907905806
4000,4,M7(1),939.0007082946724
4000,4,M7(2),963.024867515952
4000,4,M8(1),542.6866814246772
4000,4,M8(2),453.9628992748728
4000,8,C1(1),6.03163852013366
4000,8,C1(2),8.002392717864831
4000,8,C2(1),33.83426393503775
4000,8,C2(2),25.679305039457294
4000,8,C3(1),203.7992932536404
4000,8,C3(2),
4000,8,C4(1),6.616468585830124
4000,8,C4(2),6.329617902750304
4000,8,C5(1),583.9546604230932
4000,8,C5(2),571.198109922506
4000,8,C6(1),20.728937747073623
4000,8,C6(2),31.21391861367212
4000,8,C7(1),36.08910239192922
4000,8,C7(2),46.68352796721045
4000,8,C8(1),18.926118157814454
4000,8,C8(2),24.944659123014585
4000,8,M1(1),2.851588313257273
4000,8,M1(2),2.534100777903783
4000,8,M2(1),
