Time,Temp (C),Pressure (hPa),Humidity (%)
00:01:53,20.4,970.0,43.6
00:11:53,20.4,970.2,43.6
00:21:53,20.3,970.1,43.6
00:31:53,20.3,970.1,43.7
00:41:53,20.3,970.1,43.7
00:51:53,20.2,970.2,43.7
01:01:53,20.2,970.0,43.7
01:11:53,20.2,970.0,43.7
01:21:53,20.2,970.2,43.7
01:31:53,20.1,970.2,43.7
01:41:53,20.1,970.1,43.7
01:51:53,20.1,970.0,43.7
02:01:53,20.0,970.0,43.7
02:11:53,20.0,969.9,43.7
02:21:53,20.0,970.0,43.6
02:31:53,19.9,970.0,43.6
02:41:53,19.9,969.9,43.6
02:51:53,19.9,969.9,43.6
03:01:53,19.9,969.8,43.5
03:11:53,19.8,969.8,43.6
03:21:53,19.8,969.8,43.5
03:31:53,19.8,969.8,43.5
03:41:53,19.8,969.8,43.5
03:51:53,19.7,969.8,43.4
04:01:53,19.7,969.8,43.4
04:11:53,19.7,969.8,43.3
04:21:53,19.7,969.8,43.3
04:31:53,19.6,969.9,43.3
04:41:53,19.6,970.0,43.2
04:51:53,19.6,970.0,43.2
05:01:53,19.6,970.0,43.2
05:11:54,19.6,970.0,43.1
05:21:54,19.6,970.0,43.1
05:31:54,19.6,970.0,42.9
05:41:54,19.6,969.9,42.8
05:51:54,19.6,969.9,42.8
06:01:54,19.6,970.0,42.7
06:11:54,19.5,970.0,42.8
06:21:54,19.5,969.9,42.7
06:31:54,19.5,969.9,42.6
06:41:54,19.5,969.9,42.5
06:51:54,19.5,970.0,42.4
07:01:54,19.5,970.0,42.4
07:11:54,19.5,970.0,42.3
07:21:54,19.6,970.0,42.2
07:31:54,19.5,970.0,42.1
07:41:54,19.5,970.1,42.0
07:51:54,19.6,970.1,42.0
08:01:54,19.6,970.2,41.9
08:11:54,20.2,970.4,40.6
08:21:54,19.7,970.4,41.6
08:31:54,19.7,970.4,41.6
08:41:54,19.7,970.4,41.6
08:51:54,19.7,970.4,41.6
09:01:54,19.7,970.3,41.7
09:11:54,19.7,970.3,41.7
09:21:54,19.7,970.4,41.7
09:31:54,19.7,970.4,41.7
09:41:54,19.8,970.4,41.7
09:51:54,19.8,970.3,41.7
10:01:54,19.8,970.4,41.7
10:11:54,19.8,970.4,41.7
10:21:54,19.9,970.4,41.6
10:31:54,19.9,970.4,41.5
10:41:54,19.9,970.4,41.5
10:51:54,20.0,970.4,41.5
11:01:54,20.0,970.4,41.5
11:11:54,20.0,970.4,41.4
11:21:54,20.0,970.3,41.6
11:31:54,20.1,970.3,41.4
11:41:54,20.1,970.3,41.4
11:51:54,20.2,970.2,41.4
12:01:54,20.2,970.1,41.4
12:11:54,20.2,970.0,41.4
12:21:54,20.3,969.9,41.4
12:31:54,20.3,969.8,41.3
12:41:54,20.3,969.7,41.3
12:51:54,20.4,969.7,41.2
13:01:54,20.4,969.6,41.2
13:11:54,20.5,969.5,41.2
13:21:54,20.5,969.3,41.6
13:31:54,20.5,969.2,41.9
13:41:54,20.6,969.1,41.8
13:51:54,20.6,968.9,41.5
14:01:54,20.7,968.8,41.3
14:11:54,20.7,968.8,41.2
14:21:54,20.7,968.7,41.3
14:31:54,20.8,968.6,41.2
14:41:54,20.8,968.5,41.1
14:51:54,20.8,968.3,40.9
15:01:54,20.9,968.2,40.8
15:11:54,20.9,968.1,40.5
15:21:54,20.9,968.0,40.3
15:31:54,21.0,967.9,40.1
15:41:54,21.0,967.8,40.0
15:51:54,21.0,967.7,40.0
16:01:54,21.0,967.5,39.9
16:11:54,21.1,967.5,39.9
16:21:54,21.1,967.4,39.7
16:31:54,21.1,967.3,39.7
16:41:54,21.2,967.2,39.7
16:51:54,21.2,967.2,39.7
17:01:54,21.2,967.1,39.6
17:11:54,21.3,967.1,39.4
17:21:54,21.3,967.0,39.4
17:31:54,21.4,967.0,39.3
17:41:54,21.4,967.0,39.4
17:51:54,21.4,967.0,39.4
18:01:54,21.5,967.0,39.4
18:11:54,21.5,967.0,39.4
18:21:54,21.5,967.1,39.6
18:31:54,21.6,967.1,39.7
18:41:54,21.6,967.1,39.8
18:51:54,21.6,967.1,39.9
19:01:54,21.6,967.1,40.1
19:11:54,21.6,967.1,40.3
19:21:54,21.6,967.1,40.5
19:31:54,21.6,967.0,40.6
19:41:54,21.6,967.1,40.9
19:51:54,21.5,967.1,41.1
20:01:54,21.5,967.1,41.1
20:11:54,21.5,967.2,41.1
20:21:54,21.5,967.2,41.3
20:31:54,21.5,967.3,41.6
20:41:54,21.4,967.4,41.9
20:51:54,21.4,967.5,42.2
21:01:54,21.3,967.5,42.4
21:11:54,21.2,967.6,42.7
21:21:54,21.2,967.6,43.1
21:31:54,21.1,967.7,43.6
21:41:54,21.1,967.8,44.1
21:51:54,21.0,967.8,44.3
22:01:54,21.0,967.9,44.3
22:11:54,21.0,967.9,44.3
22:21:54,20.9,967.9,44.3
22:31:54,20.9,967.9,44.5
22:41:54,20.9,968.0,44.5
22:51:54,20.8,968.0,44.7
23:01:54,20.8,968.1,44.8
23:11:54,20.7,968.2,44.9
23:21:54,20.7,968.2,45.0
23:31:54,20.7,968.2,45.1
23:41:54,20.6,968.1,45.1
23:51:54,20.6,968.1,45.2
