Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
2,2,1169,45.5209,4.02087,1500,20.8734,121,417.467,123,144,433.392,3.54402,26.7259,613.037,5.94764,0.194647,6.95779,0.101307,0.0292943,0.952868,0.0376354,1.02893,1.10775,40.4719,2977,5001,,
2,3,1169,45.5209,3.92087,1500,20.7757,121,415.514,123,144,412.622,4.2018,26.0027,630.089,5.07916,0.224881,6.92524,0.0873697,0.0355515,1.20077,0.0525146,1.25349,1.35566,40.5919,2971,5001,,
2,2,1169,45.5209,4.02087,1600,18.7177,121,374.354,123,144,384.232,3.6111,24.2036,676.923,5.42028,0.199734,6.23923,0.0816275,0.0309775,0.969445,0.0428178,1.0328,1.1567,41.3317,2934,5001,,
2,3,1169,45.5209,3.92087,1600,18.1399,121,362.797,123,144,361.17,3.53337,23.2833,703.681,5.73502,0.215358,6.04662,0.0378803,0.0342193,1.23957,0.0477083,1.31749,1.38068,42.3915,2881,5001,,
2,2,1169,45.5209,4.02087,1700,16.0345,121,320.689,123,144,324.063,3.11895,20.4211,802.309,5.08717,0.172208,5.34482,0.12305,0.0309816,0.926734,0.0397503,0.973373,1.10354,44.3711,2782,5001,,
2,3,1169,45.5209,3.92087,1700,16.1745,121,323.491,123,144,316.032,3.07622,19.7301,830.407,5.4103,0.212114,5.39151,0.0705737,0.0346006,1.19686,0.0486778,1.26078,1.36997,44.1512,2793,5001,,
2,2,1169,45.5209,4.02087,1800,13.7254,121,274.507,123,144,280.588,2.5949,17.2653,948.954,5.03098,0.171508,4.57512,0.104871,0.0304805,0.931578,0.0409165,0.987137,1.10524,42.4115,2880,5001,,
2,3,1169,45.5209,3.92087,1800,14.1445,121,282.889,123,144,268.488,2.8644,16.7885,975.906,4.78781,0.196332,4.71482,0.121583,0.0357878,1.14996,0.0486323,1.20075,1.33931,40.012,3000,5001,,
2,2,1169,45.5209,4.02087,1900,12.1601,121,243.201,123,144,227.676,2.53424,13.7089,1195.13,5.10744,0.156484,4.05336,0.0817885,0.0298874,0.982621,0.0382853,1.0385,1.13417,39.852,3008,5001,,
2,3,1169,45.5209,3.92087,1900,12.0018,121,240.035,123,144,221.925,2.30255,13.954,1174.15,4.57743,0.174405,4.00059,0.058541,0.0323182,1.11723,0.0470717,1.18131,1.30995,40.052,2998,5001,,
2,2,1169,45.5209,4.02087,2000,10.7873,121,215.746,123,144,197.195,2.47158,12.4422,1316.81,5.18817,0.176755,3.59577,0.0712347,0.0336045,1.00164,0.0416916,1.07413,1.15265,39.772,3012,5001,,
2,3,1169,45.5209,3.92087,2000,10.789,121,215.78,123,144,196.07,2.04359,12.1596,1347.41,4.17168,0.160019,3.59634,0.110619,0.0344382,1.11475,0.0472854,1.16609,1.30704,41.1718,2942,5001,,
2,2,1169,45.5209,4.02087,2100,9.85856,121,197.171,123,144,180.033,1.913,10.9961,1489.99,4.21743,0.143144,3.28619,0.0981605,0.0297693,0.931308,0.0405051,0.964871,1.06733,38.2723,3087,5001,,
2,3,1169,45.5209,3.92087,2100,9.89398,121,197.88,123,144,173.628,2.35037,10.6149,1543.5,4.01596,0.157383,3.29799,0.124454,0.0370479,1.17126,0.0495556,1.21456,1.36613,38.7722,3062,5001,,
2,2,1169,45.5209,4.02087,2200,9.18095,121,183.619,123,144,151.25,1.74921,9.50383,1723.94,3.6948,0.110704,3.06032,0.159383,0.032048,0.923008,0.0376769,0.964836,1.09232,34.893,3256,5001,,
2,3,1169,45.5209,3.92087,2200,8.81907,121,176.381,123,144,143.726,2.8023,8.66498,1890.83,4.12089,0.176886,2.93969,0.126163,0.0474506,1.2023,0.0544886,1.27047,1.39485,38.4323,3079,5001,,
2,2,1169,45.5209,4.02087,2300,7.93298,121,158.66,123,144,117.839,2.77227,7.67863,2133.72,3.48976,0.137566,2.64433,0.118004,0.0434807,1.00801,0.0514795,1.06485,1.20307,35.3129,3235,5001,,
2,3,1169,45.5209,3.92087,2300,7.96283,121,159.257,123,144,117.825,3.56194,7.23214,2265.44,3.51948,0.188491,2.65428,0.164072,0.0661941,1.22685,0.0728027,1.26199,1.43402,38.1924,3091,5001,,
2,2,1169,45.5209,4.02087,2400,7.43959,121,148.792,123,144,106.408,1.80002,6.85982,2388.4,3.22426,0.117028,2.47986,0.107258,0.0365944,0.915225,0.0476606,0.968765,1.10305,34.793,3261,5001,,
2,3,1169,45.5209,3.92087,2400,7.64209,121,152.842,123,144,108.995,1.8963,7.33224,2234.51,2.79208,0.125449,2.54736,0.126033,0.0430335,1.11429,0.0542653,1.15028,1.27311,36.3127,3185,5001,,
2,2,1169,45.5209,4.02087,2500,7.05626,121,141.125,123,144,95.828,1.71648,6.36041,2575.94,2.8095,0.105302,2.35209,0.124901,0.0352501,0.892071,0.0442815,0.931888,1.07704,32.5935,3371,5001,,
2,3,1169,45.5209,3.92087,2500,7.5695,121,151.39,123,144,99.307,3.49399,5.99302,2733.85,2.87412,0.213899,2.52317,0.0469152,0.0812,1.29484,0.0987256,1.36572,1.34571,28.8342,3559,5001,,
2,2,1169,45.5209,4.02087,2600,6.69568,121,133.914,123,144,85.1715,1.47855,6.01056,2725.87,2.66504,0.0855365,2.23189,0.0972416,0.0277595,0.876332,0.0352362,0.930198,1.01284,29.874,3507,5001,,
2,3,1169,45.5209,3.92087,2600,7.10236,121,142.047,123,144,73.4906,2.48759,4.98911,3283.95,2.31609,0.135524,2.36745,0.20932,0.0767705,1.19239,0.0827404,1.21742,1.4485,28.5743,3572,5001,,
2,2,1169,45.5209,4.02087,2700,6.3172,121,126.344,123,144,43.0109,1.16205,2.40044,6825.4,2.14405,-nan,2.10573,0.374412,0.0823965,1.44128,0.0973333,1.42372,1.93519,26.9346,3654,5001,,
2,3,1169,45.5209,3.92087,2700,6.40061,121,128.012,123,144,60.7968,30.3246,3.76782,4348.4,2.17768,1.10248,2.13354,0.0325106,0.206196,1.50118,0.172141,1.56546,1.46465,28.4143,3580,5001,,
