Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
3,12,874,33.8818,6.9818,500,77.1,125,1542,126,150,1733.14,8.29243,93.1352,175.916,6.90322,0.298204,25.7,0.261429,0.0315147,2.31313,0.0550979,2.42325,2.86213,53.2298,7016,15001,,
3,13,874,33.8818,6.9818,500,76.2043,125,1524.09,126,150,1741.51,7.11583,98.6896,166.015,6.13375,0.359559,25.4014,0.271547,0.0382804,2.42149,0.0686967,2.51173,2.87346,57.7295,6341,15001,,
3,12,874,33.8818,6.9818,600,66.317,125,1326.34,126,150,1486.06,5.71346,81.8956,200.06,5.6059,0.253293,22.1057,0.312967,0.0331704,2.24199,0.0573819,2.30166,2.79867,50.3566,7447,15001,,
3,13,874,33.8818,6.9818,600,65.9695,125,1319.39,126,150,1493.15,6.50305,84.0733,194.878,5.9835,0.325694,21.9898,0.245785,0.0354975,2.41037,0.0635369,2.518,2.94305,55.323,6702,15001,,
3,12,874,33.8818,6.9818,700,57.9402,125,1158.8,126,150,1282.52,5.56213,69.0638,237.23,6.28946,0.262231,19.3134,0.256874,0.0308752,2.31854,0.054951,2.41501,2.82668,49.3634,7596,15001,,
3,13,874,33.8818,6.9818,700,57.6788,125,1153.58,126,150,1285.88,5.13557,74.5072,219.898,6.56561,0.264489,19.2263,0.269113,0.0302318,2.39618,0.0520466,2.54887,2.91514,55.2696,6710,15001,,
3,12,874,33.8818,6.9818,800,51.4598,125,1029.2,126,150,1135.9,4.97983,60.1922,272.195,6.2212,0.269542,17.1533,0.265551,0.0309679,2.24851,0.0554238,2.34816,2.761,50.71,7394,15001,,
3,13,874,33.8818,6.9818,800,50.8485,125,1016.97,126,150,1156.69,4.72557,64.5387,253.863,6.32914,0.324416,16.9495,0.287057,0.0354013,2.41967,0.062384,2.48555,2.92293,56.1229,6582,15001,,
3,12,874,33.8818,6.9818,900,44.3087,125,886.175,126,150,977.098,4.08533,53.773,304.688,6.24296,0.261889,14.7696,0.279855,0.0292987,2.25305,0.0503366,2.40866,2.74394,50.5566,7417,15001,,
3,13,874,33.8818,6.9818,900,43.6215,125,872.431,126,150,975.477,4.03875,55.5954,294.701,6.39439,0.292855,14.5405,0.304305,0.0337483,2.40333,0.0588378,2.48497,2.91675,55.0163,6748,15001,,
3,12,874,33.8818,6.9818,1000,37.5588,125,751.177,126,150,823.913,3.37781,45.3211,361.509,5.76541,0.300064,12.5196,0.266099,0.0340822,2.29718,0.0604072,2.41353,2.80654,51.8365,7225,15001,,
3,13,874,33.8818,6.9818,1000,36.9329,125,738.658,126,150,845.615,3.23964,46.0461,355.817,5.53122,0.230515,12.311,0.311422,0.0322332,2.35064,0.0567951,2.36892,2.84948,55.263,6711,15001,,
3,12,874,33.8818,6.9818,1100,32.7559,125,655.117,126,150,723.407,3.1294,38.6395,424.022,5.37043,0.230825,10.9186,0.275774,0.0317887,2.23738,0.0560752,2.29593,2.76175,50.63,7406,15001,,
