Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
5,16,0,47.65,4.95,500,77.1,133,1542,136,158,1361.11,3.87675,85.405,191.839,5.18773,0.0792126,25.7,0.165235,0.0118556,1.18218,0.0195827,1.22207,1.44101,25.7287,14855,20001,,
5,17,0,47.65,5.05,500,77.1,133,1542,136,158,1251.41,8.305,73.9638,221.514,4.49391,0.102288,25.7,0.13781,0.0174681,1.03565,0.0281133,1.09232,1.29065,67.8466,6431,20001,,
5,16,0,47.65,4.95,600,66.317,133,1326.34,136,158,1155.77,3.45008,71.1644,230.228,5.486,0.0837774,22.1057,0.161951,0.0117789,1.19057,0.0193962,1.22894,1.45152,24.5888,15083,20001,,
5,17,0,47.65,5.05,600,66.317,133,1326.34,136,158,1064.31,6.54647,64.4402,254.251,4.57006,0.0971018,22.1057,0.166116,0.0175055,1.07661,0.0263985,1.13348,1.34271,62.6619,7468,20001,,
5,16,0,47.65,4.95,700,57.9402,133,1158.8,136,158,1010.36,2.93967,62.129,263.709,5.29303,0.0804318,19.3134,0.169358,0.0119896,1.21835,0.0193354,1.25649,1.46445,24.5588,15089,20001,,
5,17,0,47.65,5.05,700,57.9402,133,1158.8,136,158,921.064,12.9003,53.6848,305.189,4.08811,0.151177,19.3134,0.150969,0.0322134,1.04849,0.0450071,1.11673,1.3329,84.8408,3032,20001,,
5,16,0,47.65,4.95,800,51.4598,133,1029.2,136,158,889.845,2.64969,55.1094,297.299,5.36017,0.0814222,17.1533,0.169598,0.0117611,1.19028,0.019548,1.22226,1.45004,24.5388,15093,20001,,
5,17,0,47.65,5.05,800,51.4598,133,1029.2,136,158,795.055,10.6972,47.4313,345.426,3.83789,0.151362,17.1533,0.153801,0.035277,0.991798,0.0466584,1.10514,1.35256,87.7856,2443,20001,,
5,16,0,47.65,4.95,900,44.3087,133,886.175,136,158,755.705,2.11846,46.6766,351.011,5.1816,0.0752602,14.7696,0.153285,0.0112567,1.2075,0.0187363,1.24889,1.44703,23.4138,15318,20001,,
5,17,0,47.65,5.05,900,44.3087,133,886.175,136,158,695.348,2.55507,41.9495,390.565,5.27902,0.0718436,14.7696,0.171809,0.0114124,1.05554,0.0173261,1.10085,1.28688,24.4988,15101,20001,,
5,16,0,47.65,4.95,1000,37.5588,133,751.177,136,158,639.235,1.88407,39.5557,414.2,5.26175,0.0786195,12.5196,0.163128,0.0117028,1.20928,0.0191705,1.24537,1.4473,23.5988,15281,20001,,
5,17,0,47.65,5.05,1000,37.5588,133,751.177,136,158,598.768,2.03647,36.112,453.7,4.95976,0.0700006,12.5196,0.158144,0.0116542,1.06614,0.0179719,1.11012,1.28392,25.6487,14871,20001,,
5,16,0,47.65,4.95,1100,32.7559,133,655.117,136,158,558.488,1.63357,34.4075,476.175,5.16597,0.0766917,10.9186,0.184805,0.0120362,1.21405,0.0191147,1.25061,1.4714,22.9489,15411,20001,,
5,17,0,47.65,5.05,1100,32.7559,133,655.117,136,158,524.23,1.87859,31.5329,519.584,5.23144,0.0773577,10.9186,0.151365,0.011605,1.04625,0.0184945,1.09377,1.28905,24.9588,15009,20001,,
5,16,0,47.65,4.95,1200,29.0339,133,580.678,136,158,495.252,1.42436,30.4114,538.745,4.98158,0.0754731,9.67796,0.171547,0.0116235,1.20095,0.0192326,1.23984,1.46319,23.5338,15294,20001,,
5,17,0,47.65,5.05,1200,29.0339,133,580.678,136,158,457.487,1.80169,27.2609,601.007,5.00457,0.0712735,9.67796,0.179018,0.0120148,1.02912,0.017889,1.07109,1.28089,25.0887,14983,20001,,
5,16,0,47.65,4.95,1300,25.4455,133,508.909,136,158,439.931,1.33206,26.8475,610.261,4.88799,0.0757609,8.48182,0.169216,0.0121103,1.21058,0.0198811,1.24319,1.46363,24.0088,15199,20001,,
5,17,0,47.65,5.05,1300,25.4455,133,508.909,136,158,395.895,1.45748,23.7804,688.97,4.78962,0.0684361,8.48182,0.169997,0.0114936,1.04625,0.0179833,1.09042,1.28577,25.3587,14929,20001,,
5,16,0,47.65,4.95,1400,21.6392,133,432.785,136,158,352.495,1.19297,21.4251,764.71,4.8064,0.0707501,7.21308,0.170149,0.0119721,1.17806,0.0187913,1.22367,1.45049,23.2838,15344,20001,,
5,17,0,47.65,5.05,1400,21.6392,133,432.785,136,158,331.245,1.3082,19.7004,831.659,4.824,0.0673297,7.21308,0.167422,0.0116769,1.05279,0.0178473,1.08702,1.27711,26.0787,14785,20001,,
5,16,0,47.65,4.95,1500,19.3435,133,386.87,136,158,304.771,1.02988,18.3522,892.752,4.53138,0.0657712,6.44783,0.17782,0.011841,1.19371,0.0189009,1.22379,1.45765,22.7439,15452,20001,,
5,17,0,47.65,5.05,1500,19.3435,133,386.87,136,158,281.937,1.16046,16.6937,981.45,4.51883,0.0648052,6.44783,0.168145,0.0120512,1.03297,0.0185705,1.06472,1.2704,28.1036,14380,20001,,
5,16,0,47.65,4.95,1600,16.642,133,332.84,136,158,269.062,0.971677,16.2457,1008.51,4.49297,0.064807,5.54733,0.143811,0.0116647,1.19681,0.0189877,1.23477,1.43315,23.9288,15215,20001,,
5,17,0,47.65,5.05,1600,16.642,133,332.84,136,158,242.244,1.41874,14.3853,1138.94,4.12507,0.066109,5.54733,0.190372,0.0140765,1.04619,0.0204872,1.08506,1.3222,36.7732,12646,20001,,
5,16,0,47.65,4.95,1700,14.5901,133,291.803,136,158,230.811,0.904162,13.9115,1177.73,4.15024,0.0610524,4.86338,0.170545,0.012331,1.17382,0.0188928,1.20922,1.41934,24.3188,15137,20001,,
5,17,0,47.65,5.05,1700,14.5901,133,291.803,136,158,214.73,1.11865,12.4953,1311.21,4.11787,0.0604995,4.86338,0.185818,0.0129508,1.04559,0.0186414,1.08201,1.30494,33.4083,13319,20001,,
5,16,0,47.65,4.95,1800,12.9062,133,258.124,136,158,192.74,0.88106,11.48,1427.18,4.02688,0.0586926,4.30206,0.177005,0.0125152,1.16849,0.0194396,1.20152,1.44524,23.5238,15296,20001,,
5,17,0,47.65,5.05,1800,12.9062,133,258.124,136,158,184.369,1.84688,10.6358,1540.46,3.50936,0.0873339,4.30206,0.161714,0.0208899,1.00777,0.0306577,1.05645,1.24931,68.5966,6281,20001,,
5,16,0,47.65,4.95,1900,11.5459,133,230.919,136,158,169.241,0.848158,10.0303,1633.45,3.76542,0.0620683,3.84864,0.172541,0.0141946,1.18421,0.0211122,1.21772,1.43041,24.9088,15019,20001,,
5,17,0,47.65,5.05,1900,11.5459,133,230.919,136,158,147.365,1.97546,8.6332,1897.79,3.13511,0.0731873,3.84864,0.167777,0.021212,1.03425,0.0298949,1.08258,1.30736,56.0972,8781,20001,,
5,16,0,47.65,4.95,2000,10.4313,133,208.626,136,158,142.829,0.865388,8.20435,1996.99,3.43853,0.0579808,3.4771,0.153781,0.0140097,1.1985,0.0220751,1.23468,1.44648,25.8737,14826,20001,,
5,17,0,47.65,5.05,2000,10.4313,133,208.626,136,158,127.439,1.57203,7.30157,2243.9,3.08696,0.0726844,3.4771,0.177411,0.0225761,1.07238,0.0303646,1.10557,1.30469,42.7279,11455,20001,,
5,16,0,47.65,4.95,2100,10.2389,133,204.779,136,158,129.279,0.931532,7.4482,2199.72,3.09703,0.0583175,3.41298,0.195266,0.0163466,1.15992,0.0238684,1.18428,1.41977,23.7538,15250,20001,,
5,17,0,47.65,5.05,2100,10.2389,133,204.779,136,158,119.106,1.04465,7.02112,2333.53,2.9418,0.0529311,3.41298,0.178448,0.0157897,1.03299,0.0223872,1.0635,1.26457,21.8639,15628,20001,,
5,16,0,47.65,4.95,2200,8.47776,133,169.555,136,158,104.378,0.935568,6.09485,2688.17,2.78114,0.0577167,2.82592,0.202664,0.0179984,1.15828,0.0259526,1.19212,1.46818,29.2535,14150,20001,,
5,17,0,47.65,5.05,2200,8.47776,133,169.555,136,158,97.6002,0.947376,5.88775,2782.73,2.69314,0.053163,2.82592,0.179831,0.0168776,1.02317,0.0237834,1.0551,1.26978,21.5889,15683,20001,,
5,16,0,47.65,4.95,2300,7.65447,133,153.089,136,158,78.2827,7.89043,3.96038,4136.97,2.39089,0.132796,2.55149,0.198271,0.12718,1.45616,0.176211,1.47106,1.75511,32.1534,13570,20001,,
5,17,0,47.65,5.05,2300,7.65447,133,153.089,136,158,80.8772,1.34239,4.9003,3343.47,2.35442,0.0551967,2.55149,0.201527,0.0224722,1.03314,0.0297341,1.06095,1.30311,20.209,15959,20001,,
5,16,0,47.65,4.95,2400,7.57221,133,151.444,136,158,68.5509,2.03753,3.70762,4419.01,2.0281,0.0869833,2.52407,0.274613,0.0488905,1.28631,0.0622923,1.29388,1.67659,27.2236,14556,20001,,
5,17,0,47.65,5.05,2400,7.57221,133,151.444,136,158,73.2254,1.16577,4.48269,3654.95,2.19207,0.0521335,2.52407,0.196242,0.0373361,1.0263,0.0461394,1.05008,1.27078,18.1291,16375,20001,,
