Module,DAPHNE Channel,Bias [V],Real Bias [V],OV [V],VGain,Baseline,Prepulse ticks,Saturation up,Int low,Int up,Gain,Err Gain,Spe ampl,DR,SNR,Err SNR,RMS,CX,Err CX,Avg #ph cx,Err #ph cx,Avg #ph,Avg #pe,StatLoss [%],CalibrationWFS,TotalWFS,
5,20,0,47.65,4.95,500,77.1,135,1542,138,158,1585.68,4.20164,99.9022,164,6.05185,0.101825,25.7,0.178391,0.0119579,1.19527,0.0202758,1.23537,1.47517,26.9337,14614,20001,,
5,21,0,47.65,5.05,500,77.1,135,1542,138,158,1416.44,4.30196,89.1336,183.814,6.19365,0.092855,25.7,0.167571,0.0115683,1.05354,0.0180728,1.10169,1.29169,30.5335,13894,20001,,
5,20,0,47.65,4.95,600,66.317,135,1326.34,138,158,1357.44,3.58921,85.3164,192.038,6.40833,0.112435,22.1057,0.156545,0.01202,1.20165,0.0205839,1.25975,1.46286,26.6187,14677,20001,,
5,21,0,47.65,5.05,600,66.317,135,1326.34,138,158,1210.3,3.6781,75.6443,216.593,6.31298,0.0926666,22.1057,0.154571,0.0117864,1.06777,0.0181803,1.11503,1.29362,30.1485,13971,20001,,
5,20,0,47.65,4.95,700,57.9402,135,1158.8,138,158,1190.25,3.15239,74.3595,220.335,6.53489,0.104081,19.3134,0.155002,0.0117893,1.21992,0.0200446,1.2671,1.46271,26.0787,14785,20001,,
5,21,0,47.65,5.05,700,57.9402,135,1158.8,138,158,1053.66,3.25424,65.3961,250.535,6.33765,0.100122,19.3134,0.164543,0.0115931,1.04684,0.0188081,1.09899,1.27745,29.6335,14074,20001,,
5,20,0,47.65,4.95,800,51.4598,135,1029.2,138,158,1043.02,2.62601,65.5432,249.973,6.12888,0.0959596,17.1533,0.162679,0.0114797,1.20428,0.0196777,1.24382,1.44264,26.1737,14766,20001,,
5,21,0,47.65,5.05,800,51.4598,135,1029.2,138,158,927.358,2.71071,57.4727,285.074,5.89259,0.0916093,17.1533,0.148458,0.01169,1.07232,0.0187955,1.1236,1.30449,29.4685,14107,20001,,
5,20,0,47.65,4.95,900,44.3087,135,886.175,138,158,878.301,2.25655,55.4518,295.464,6.17967,0.0941737,14.7696,0.179441,0.0116309,1.17867,0.0193338,1.21988,1.44383,26.2437,14752,20001,,
5,21,0,47.65,5.05,900,44.3087,135,886.175,138,158,783.06,2.43178,48.9661,334.599,6.04871,0.0913128,14.7696,0.177403,0.0118308,1.04409,0.0185774,1.08768,1.28755,29.2935,14142,20001,,
5,20,0,47.65,4.95,1000,37.5588,135,751.177,138,158,751.32,2.01535,46.7222,350.669,6.13534,0.0962097,12.5196,0.171422,0.0118307,1.1845,0.0193446,1.23546,1.44827,26.2087,14759,20001,,
5,21,0,47.65,5.05,1000,37.5588,135,751.177,138,158,658.34,2.09347,41.308,396.631,6.05174,0.0869619,12.5196,0.168019,0.0114512,1.06271,0.0180812,1.10272,1.3004,29.6135,14078,20001,,
5,20,0,47.65,4.95,1100,32.7559,135,655.117,138,158,669.047,1.80234,41.458,395.195,5.95159,0.0957648,10.9186,0.169652,0.0118137,1.19908,0.019948,1.23323,1.44536,26.8937,14622,20001,,
5,21,0,47.65,5.05,1100,32.7559,135,655.117,138,158,573.568,1.97453,35.7553,458.226,5.89672,0.089215,10.9186,0.162784,0.0120673,1.03572,0.0178117,1.09398,1.28104,28.9936,14202,20001,,
5,20,0,47.65,4.95,1200,29.0339,135,580.678,138,158,581.143,1.57031,36.7389,445.958,6.05747,0.0960438,9.67796,0.170964,0.0119248,1.18853,0.0196833,1.23182,1.44691,25.7937,14842,20001,,
5,21,0,47.65,5.05,1200,29.0339,135,580.678,138,158,513.292,1.63106,31.6662,517.398,5.87298,0.0845845,9.67796,0.171737,0.0118197,1.07041,0.0182673,1.11603,1.30201,30.3235,13936,20001,,
5,20,0,47.65,4.95,1300,25.4455,135,508.909,138,158,496.544,1.44448,31.0376,527.876,5.85428,0.0943606,8.48182,0.178545,0.012102,1.18551,0.0197445,1.23002,1.45454,26.3737,14726,20001,,
5,21,0,47.65,5.05,1300,25.4455,135,508.909,138,158,438.601,1.46112,26.9766,607.341,5.51288,0.0835441,8.48182,0.171213,0.0119642,1.05599,0.0183808,1.10216,1.29879,29.7585,14049,20001,,
