vgain,channel,led,bias,mean_0,e_mean_0,std_0,e_std_0,gain,e_gain,snr,e_snr,delta_std,e_delta_std,spe_amplitude,e_spe_amplitude,dynamic range
1500,0,725,1195,21.479056859113093,3.8662418406175316,99.18167739438324,3.963364945037668,705.0589132430277,7.324027097876076,7.108761736701137,0.2935118911531827,3961993.226416411,422755.67766478844,45.27917059028265,0.4544289717754549,361.844083855992
1600,0,725,1195,18.836565473807116,3.418176665147675,94.72885471684583,2.878221152016245,625.6535871350734,6.377655849061592,6.604678046675593,0.2116676857326052,2832002.3575474937,320737.4943651644,40.212482975713435,0.539770759177211,407.43567140321113
1700,0,725,1195,25.842122991917254,3.661280434222357,93.26883855140005,3.265192661557059,538.9819440877657,6.541205516917769,5.7787997841394265,0.21411805365197012,2154555.0660531376,320300.1787587398,34.582959307208384,0.30491293747570747,473.7593406757692
1800,0,725,1195,21.39676965045143,3.2629995596512016,83.37964274737911,2.7877141034610133,449.88164290679725,5.911383908447352,5.395581320368976,0.1938274031664804,1451721.6657134548,234054.28897675878,29.430979118745597,0.27244918838074605,556.6923184544843
1900,0,725,1195,13.75514930101068,2.747827399521585,73.82418544696193,2.4130138161930574,385.2981770492652,4.742778214380494,5.219132113907005,0.18228838633852448,925421.320918821,175933.29397665185,24.62718282263243,0.39634032935947794,665.2811293114319
2000,0,725,1195,17.082710979467656,2.7730498533301815,71.70383948269671,2.071080323848612,333.9797236125891,4.803287708093096,4.657766251041324,0.15028900883844934,615507.1485688367,150831.59999219014,22.024569869256208,0.4638086557205649,743.8964800338824
2100,0,725,1195,9.695505107677826,2.6033236853201074,65.07913518614976,2.2937386673464104,296.7790945414013,4.637510404799153,4.5602802448512305,0.1758171518895726,620026.6088641358,146948.9554272499,20.57493675646048,0.1424753285412138,796.308644538383
2200,0,725,1195,7.767091087763732,4.071341287450492,58.34079697463888,3.570839529670021,241.31711163964098,6.766637906028864,4.1363355345410024,0.2784742956182282,472071.5822616032,219529.1911680792,17.674532487803894,0.25265283941882866,926.9835007690069
2300,0,725,1195,7.443670668148424,2.8714554734654874,57.99544190139773,2.1569634830852706,207.8672491556518,4.834364706737099,3.5841997636480123,0.15722051310803284,249220.19033866783,127043.87275566962,15.190874526967024,0.43492559768928907,1078.5422505409367
2400,0,725,1195,14.88939706059696,3.671955633639406,55.473256260966195,2.267886037343711,183.8016627402456,6.017915083832864,3.313338266561752,0.17354353445639095,319653.5290685259,161103.6868847569,14.205796253332524,0.27371847501303065,1153.3320419231336
