date,run,ov,vgain,integrator,mask,width,intensity
10/10/2024,29823,"[2.0, 3.5]",3192,0,1,1,1400
10/10/2024,29824,"[2.0, 3.5]",3192,0,1,1,1500
10/10/2024,29825,"[2.0, 3.5]",3192,0,1,1,1600
10/10/2024,29826,"[2.0, 3.5]",3192,0,1,1,1800
10/10/2024,29827,"[2.0, 3.5]",3192,0,1,1,2000
10/10/2024,29828,"[2.0, 3.5]",3192,0,1,1,2200
10/10/2024,29829,"[2.5, 4.5]",3192,0,1,1,1400
10/10/2024,29830,"[2.5, 4.5]",3192,0,1,1,1500
10/10/2024,29831,"[2.5, 4.5]",3192,0,1,1,1600
10/10/2024,29832,"[2.5, 4.5]",3192,0,1,1,1800
10/10/2024,29833,"[2.5, 4.5]",3192,0,1,1,2000
10/10/2024,29834,"[2.5, 4.5]",3192,0,1,1,2200
10/10/2024,29835,"[3.0, 7.0]",3192,0,1,1,1400
10/10/2024,29836,"[3.0, 7.0]",3192,0,1,1,1500
10/10/2024,29837,"[3.0, 7.0]",3192,0,1,1,1600
10/10/2024,29838,"[3.0, 7.0]",3192,0,1,1,1800
10/10/2024,29839,"[3.0, 7.0]",3192,0,1,1,2000
10/10/2024,29860,"[3.0, 7.0]",3192,0,1,1,2200
21/10/2024,31157,"[2.0, 3.5]",3192,0,50,20,1400
21/10/2024,31158,"[2.0, 3.5]",3192,0,50,20,1800
21/10/2024,31160,"[2.0, 3.5]",3192,0,50,20,2200
21/10/2024,31161,"[2.0, 3.5]",3192,0,50,20,2800
21/10/2024,31162,"[2.0, 3.5]",3192,0,50,20,3400
21/10/2024,31163,"[2.0, 3.5]",3192,0,50,20,4000
21/10/2024,31165,"[2.5, 4.5]",3192,0,50,20,1400
21/10/2024,31166,"[2.5, 4.5]",3192,0,50,20,1800
21/10/2024,31167,"[2.5, 4.5]",3192,0,50,20,2200
21/10/2024,31168,"[2.5, 4.5]",3192,0,50,20,2800
21/10/2024,31169,"[2.5, 4.5]",3192,0,50,20,3400
21/10/2024,31170,"[2.5, 4.5]",3192,0,50,20,4000
21/10/2024,31172,"[3.0, 7.0]",3192,0,50,20,1400
21/10/2024,31173,"[3.0, 7.0]",3192,0,50,20,1800
21/10/2024,31174,"[3.0, 7.0]",3192,0,50,20,2200
21/10/2024,31175,"[3.0, 7.0]",3192,0,50,20,2800
21/10/2024,31177,"[3.0, 7.0]",3192,0,50,20,3400
21/10/2024,31178,"[3.0, 7.0]",3192,0,50,20,4000
11/10/2024,29861,"[2.0, 3.5]",2926,0,1,1,1400
11/10/2024,29862,"[2.0, 3.5]",2926,0,1,1,1500
11/10/2024,29863,"[2.0, 3.5]",2926,0,1,1,1600
11/10/2024,29864,"[2.0, 3.5]",2926,0,1,1,1800
11/10/2024,29865,"[2.0, 3.5]",2926,0,1,1,2000
11/10/2024,29866,"[2.0, 3.5]",2926,0,1,1,2200
11/10/2024,29867,"[2.5, 4.5]",2926,0,1,1,1400
11/10/2024,29868,"[2.5, 4.5]",2926,0,1,1,1500
11/10/2024,29869,"[2.5, 4.5]",2926,0,1,1,1600
11/10/2024,29870,"[2.5, 4.5]",2926,0,1,1,1800
11/10/2024,29871,"[2.5, 4.5]",2926,0,1,1,2000
11/10/2024,29872,"[2.5, 4.5]",2926,0,1,1,2200
11/10/2024,29873,"[3.0, 7.0]",2926,0,1,1,1400
11/10/2024,29874,"[3.0, 7.0]",2926,0,1,1,1500
11/10/2024,29875,"[3.0, 7.0]",2926,0,1,1,1600
11/10/2024,29876,"[3.0, 7.0]",2926,0,1,1,1800
11/10/2024,29877,"[3.0, 7.0]",2926,0,1,1,2000
11/10/2024,29878,"[3.0, 7.0]",2926,0,1,1,2200
21/10/2024,31179,"[2.0, 3.5]",2926,0,50,20,1400
21/10/2024,31180,"[2.0, 3.5]",2926,0,50,20,1800
21/10/2024,31181,"[2.0, 3.5]",2926,0,50,20,2200
21/10/2024,31183,"[2.0, 3.5]",2926,0,50,20,2800
21/10/2024,31184,"[2.0, 3.5]",2926,0,50,20,3400
21/10/2024,31185,"[2.0, 3.5]",2926,0,50,20,4000
21/10/2024,31186,"[2.5, 4.5]",2926,0,50,20,1400
21/10/2024,31187,"[2.5, 4.5]",2926,0,50,20,1800
21/10/2024,31188,"[2.5, 4.5]",2926,0,50,20,2200
21/10/2024,31189,"[2.5, 4.5]",2926,0,50,20,2800
21/10/2024,31190,"[2.5, 4.5]",2926,0,50,20,3400
21/10/2024,31191,"[2.5, 4.5]",2926,0,50,20,4000
21/10/2024,31192,"[3.0, 7.0]",2926,0,50,20,1400
21/10/2024,31193,"[3.0, 7.0]",2926,0,50,20,1800
21/10/2024,31194,"[3.0, 7.0]",2926,0,50,20,2200
21/10/2024,31195,"[3.0, 7.0]",2926,0,50,20,2800
21/10/2024,31196,"[3.0, 7.0]",2926,0,50,20,3400
21/10/2024,31197,"[3.0, 7.0]",2926,0,50,20,4000
15/10/2024,29927,"[2.0, 3.5]",2793,0,50,20,1400
15/10/2024,29928,"[2.0, 3.5]",2793,0,50,20,1800
15/10/2024,29929,"[2.0, 3.5]",2793,0,50,20,2200
15/10/2024,29930,"[2.0, 3.5]",2793,0,50,20,2800
15/10/2024,29931,"[2.0, 3.5]",2793,0,50,20,1400
15/10/2024,29932,"[2.0, 3.5]",2793,0,50,20,1800
15/10/2024,29933,"[2.0, 3.5]",2793,0,50,20,2200
15/10/2024,29934,"[2.0, 3.5]",2793,0,50,20,2800
15/10/2024,29935,"[2.0, 3.5]",2793,0,50,20,3400
15/10/2024,29936,"[2.0, 3.5]",2793,0,50,20,4000
15/10/2024,29937,"[2.0, 3.5]",2793,0,1,1,1400
15/10/2024,29938,"[2.0, 3.5]",2793,0,1,1,1500
15/10/2024,29939,"[2.0, 3.5]",2793,0,1,1,1600
15/10/2024,29940,"[2.0, 3.5]",2793,0,1,1,1800
16/10/2024,30214,"[2.0, 3.5]",2793,0,1,1,2000
15/10/2024,29943,"[2.0, 3.5]",2793,0,1,1,2200
15/10/2024,29945,"[2.5, 4.5]",2793,0,50,20,1400
15/10/2024,29947,"[2.5, 4.5]",2793,0,50,20,1800
15/10/2024,29949,"[2.5, 4.5]",2793,0,50,20,2200
15/10/2024,29950,"[2.5, 4.5]",2793,0,50,20,2800
15/10/2024,29951,"[2.5, 4.5]",2793,0,50,20,1400
15/10/2024,29952,"[2.5, 4.5]",2793,0,50,20,1800
