batch,APA,endpoint,channel,channel_iterator,PDE,gain,snr,OV#,HPK_OV_V,FBK_OV_V
1,1,104,7,0,0.4,2461.3684228785446,3.897961641480389,1,2.0,3.5
1,1,104,5,1,0.4,2497.928190977173,3.6375296497685383,1,2.0,3.5
1,1,104,2,2,0.4,2570.436664420478,3.085307235292692,1,2.0,3.5
1,1,104,0,3,0.4,2369.7033496397016,3.527337945179891,1,2.0,3.5
1,1,104,1,4,0.4,2727.339297891503,3.5198762485700845,1,2.0,3.5
1,1,104,3,5,0.4,2748.3406503107194,3.3264427535537875,1,2.0,3.5
1,1,104,4,6,0.4,2488.9487303336273,3.246426751977142,1,2.0,3.5
1,1,104,6,7,0.4,2514.2554816153865,3.413101910396596,1,2.0,3.5
1,1,104,17,8,0.4,2630.8409400773007,4.296777170880722,1,2.0,3.5
1,1,104,15,9,0.4,2627.067800662978,4.127466940391785,1,2.0,3.5
1,1,104,12,10,0.4,2630.341163151225,4.41580641535317,1,2.0,3.5
1,1,104,10,11,0.4,2602.964416956441,4.179040003525402,1,2.0,3.5
1,1,104,11,12,0.4,2681.6066434925365,4.2391655688024175,1,2.0,3.5
1,1,104,13,13,0.4,2737.827654591939,4.329016702800318,1,2.0,3.5
1,1,104,14,14,0.4,2671.4831506429564,3.8839261459789967,1,2.0,3.5
1,1,104,16,15,0.4,2739.07116956678,3.8773448782921265,1,2.0,3.5
1,1,105,7,16,0.4,2552.9527180997393,3.684526288228984,1,2.0,3.5
1,1,105,5,17,0.4,2608.3872256828463,3.446188051878816,1,2.0,3.5
1,1,105,2,18,0.4,2517.078163056071,3.207354830713267,1,2.0,3.5
1,1,105,1,20,0.4,2411.92471579623,3.8651688516828946,1,2.0,3.5
1,1,105,3,21,0.4,2607.833288636148,3.3646658632136908,1,2.0,3.5
1,1,105,4,22,0.4,2645.5413227235827,3.0815573232038824,1,2.0,3.5
1,1,105,6,23,0.4,2907.8803836167244,3.0851438772402666,1,2.0,3.5
1,1,105,26,24,0.4,2733.599208454434,3.8517900382548618,1,2.0,3.5
1,1,105,24,25,0.4,2829.1691527445814,4.052075750356272,1,2.0,3.5
1,1,105,23,26,0.4,2773.362419412296,3.544509783456221,1,2.0,3.5
1,1,105,21,27,0.4,3093.788770695994,3.230181006454482,1,2.0,3.5
1,1,105,10,28,0.4,2593.538752866103,3.3892798074688537,1,2.0,3.5
1,1,105,15,30,0.4,2623.542891659841,3.2101832311919303,1,2.0,3.5
1,1,105,17,31,0.4,2706.876893388769,2.8163683739179066,1,2.0,3.5
1,1,107,17,32,0.4,3390.218634915942,4.567273711540748,1,2.0,3.5
1,1,107,15,33,0.4,3339.4098277344046,4.65161342421816,1,2.0,3.5
1,1,107,12,34,0.4,3166.4231212783466,3.9093188778142345,1,2.0,3.5
1,1,107,0,36,0.4,2921.1790763315416,3.340976240764213,1,2.0,3.5
1,1,107,2,37,0.4,3081.544213988303,3.3055710397888585,1,2.0,3.5
1,1,107,5,38,0.4,2909.4336651210424,3.205427831419799,1,2.0,3.5
1,1,107,7,39,0.4,3062.459093161445,3.500217332392945,1,2.0,3.5
1,1,104,7,0,0.45,3122.1377997820728,4.486531231539767,2,3.5,4.5
1,1,104,5,1,0.45,3025.6416868605593,4.664982239949673,2,3.5,4.5
1,1,104,2,2,0.45,2986.490748428335,4.708415161237206,2,3.5,4.5
1,1,104,0,3,0.45,2875.7062317857053,4.201981257379582,2,3.5,4.5
1,1,104,1,4,0.45,3402.862038304711,4.228669046295173,2,3.5,4.5
1,1,104,3,5,0.45,3306.8111702520546,4.212820908251635,2,3.5,4.5
1,1,104,4,6,0.45,3060.58482110424,3.8589207649303447,2,3.5,4.5
1,1,104,6,7,0.45,3123.466511805975,3.8715057783779248,2,3.5,4.5
1,1,104,17,8,0.45,3318.0090242545784,4.833154108360282,2,3.5,4.5
1,1,104,15,9,0.45,3218.719642639203,5.221113992134399,2,3.5,4.5
1,1,104,12,10,0.45,3128.188224752567,5.019044810342946,2,3.5,4.5
1,1,104,10,11,0.45,3144.31383769499,4.562565239701828,2,3.5,4.5
1,1,104,11,12,0.45,3289.1909494004285,5.070969604749827,2,3.5,4.5
1,1,104,13,13,0.45,3391.631657503094,5.62513439395541,2,3.5,4.5
1,1,104,14,14,0.45,3287.2459813376727,4.253137128559111,2,3.5,4.5
1,1,104,16,15,0.45,3339.582889602526,4.471339169353272,2,3.5,4.5
1,1,105,7,16,0.45,3317.6810753309696,4.40022072674143,2,3.5,4.5
1,1,105,5,17,0.45,3222.520961742804,4.12962375499764,2,3.5,4.5
1,1,105,2,18,0.45,3082.5065199662176,3.8407390422410086,2,3.5,4.5
1,1,105,0,19,0.45,3625.409681223927,3.0642629982234326,2,3.5,4.5
1,1,105,1,20,0.45,3013.6405384410955,4.452588431180316,2,3.5,4.5
1,1,105,3,21,0.45,3108.151341499679,4.199558524276959,2,3.5,4.5
1,1,105,4,22,0.45,3264.931954523688,3.7547915089322426,2,3.5,4.5
1,1,105,6,23,0.45,3410.290707485354,3.5919523966974634,2,3.5,4.5
1,1,105,26,24,0.45,3376.8272596428924,4.748644163444675,2,3.5,4.5
1,1,105,24,25,0.45,3454.496632738504,4.497085216422012,2,3.5,4.5
1,1,105,23,26,0.45,3507.8399586966325,3.895369204509626,2,3.5,4.5
1,1,105,21,27,0.45,3662.321536619844,3.7559707234181894,2,3.5,4.5
1,1,105,10,28,0.45,3214.1824070595926,3.9648638079843233,2,3.5,4.5
1,1,105,15,30,0.45,3276.440057396077,3.5838109201178328,2,3.5,4.5
1,1,105,17,31,0.45,3334.095807898156,3.0936972100103595,2,3.5,4.5
1,1,107,17,32,0.45,3994.672256711842,5.3487859334766865,2,3.5,4.5
1,1,107,15,33,0.45,3948.7972836059375,5.209399715314237,2,3.5,4.5
1,1,107,12,34,0.45,3882.4032901839514,4.8229467583845915,2,3.5,4.5
1,1,107,0,36,0.45,3576.6049860956173,4.065791052964036,2,3.5,4.5
1,1,107,2,37,0.45,3790.236635176818,3.843302809686582,2,3.5,4.5
1,1,107,5,38,0.45,3567.4223578070255,3.760757728359985,2,3.5,4.5
1,1,107,7,39,0.45,3583.6350585140044,3.7382967203637,2,3.5,4.5
1,1,104,7,0,0.5,4649.031452939465,7.067383070581304,3,4.0,7.0
1,1,104,5,1,0.5,4812.170033004542,6.737378104333049,3,4.0,7.0
1,1,104,2,2,0.5,4632.572502398803,6.610516598617812,3,4.0,7.0
1,1,104,0,3,0.5,4627.418915677911,6.23932809370867,3,4.0,7.0
1,1,104,1,4,0.5,5073.254479517251,5.876730704119089,3,4.0,7.0
1,1,104,3,5,0.5,5066.840802259635,6.030104893680272,3,4.0,7.0
1,1,104,4,6,0.5,4617.874766587493,4.781134539693115,3,4.0,7.0
1,1,104,6,7,0.5,4646.189572442782,5.281388838959432,3,4.0,7.0
1,1,104,17,8,0.5,3912.123350208775,5.803892074005751,3,4.0,7.0
1,1,104,15,9,0.5,3750.536477242264,5.561229204171474,3,4.0,7.0
1,1,104,12,10,0.5,3894.8395161675535,6.182094161496377,3,4.0,7.0
1,1,104,10,11,0.5,3857.608782096116,5.472794747467749,3,4.0,7.0
1,1,104,11,12,0.5,4030.8692661516934,6.186267582859921,3,4.0,7.0
1,1,104,13,13,0.5,3911.9915461696423,6.218834338891806,3,4.0,7.0
1,1,104,14,14,0.5,3924.3921478656703,4.825805202502118,3,4.0,7.0
1,1,104,16,15,0.5,3951.193260189216,5.0660243688186535,3,4.0,7.0
1,1,105,7,16,0.5,4942.631785549965,7.959065852743306,3,4.0,7.0
1,1,105,5,17,0.5,5108.184102935663,5.90498737170071,3,4.0,7.0
1,1,105,2,18,0.5,4911.558096189933,4.967833743817274,3,4.0,7.0
1,1,105,0,19,0.5,5179.883588088207,4.117882884578871,3,4.0,7.0
1,1,105,1,20,0.5,4792.62659428651,6.358763934260499,3,4.0,7.0
1,1,105,3,21,0.5,4759.264418507525,5.98513641797554,3,4.0,7.0
1,1,105,4,22,0.5,5020.705987344937,4.877418622121169,3,4.0,7.0
1,1,105,6,23,0.5,5142.581645361188,4.280061305960181,3,4.0,7.0
1,1,105,26,24,0.5,4016.187343480352,5.499677536746429,3,4.0,7.0
1,1,105,24,25,0.5,4258.19940011902,5.3127666106845375,3,4.0,7.0
1,1,105,23,26,0.5,4041.2235837292496,4.4234233978796045,3,4.0,7.0
1,1,105,21,27,0.5,4134.81079283958,3.797160253501004,3,4.0,7.0
1,1,105,10,28,0.5,4888.696682208634,5.8829000955877735,3,4.0,7.0
1,1,105,15,30,0.5,4881.310483903038,4.186811362653542,3,4.0,7.0
1,1,105,17,31,0.5,5045.108101396504,4.3357369460163335,3,4.0,7.0
1,1,107,17,32,0.5,4646.106804546519,6.03429023298524,3,4.0,7.0
1,1,107,15,33,0.5,4630.153139580072,5.547361178538868,3,4.0,7.0
1,1,107,12,34,0.5,4557.656817303256,5.225782606025651,3,4.0,7.0
1,1,107,0,36,0.5,4958.829543116946,5.153873025806371,3,4.0,7.0
1,1,107,2,37,0.5,5530.371914186109,5.046094465580273,3,4.0,7.0
