run,batch,acquired_apas,aimed_channels,pde
29823,3192,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.4
29824,3192,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.4
29825,3192,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.4
29826,3192,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.4
29827,3192,"[3,4]","[11136]",0.4
29828,3192,"[3,4]","[11101,11103,11104,11106,11127]",0.4
29829,3192,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.45
29830,3192,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.45
29831,3192,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.45
29832,3192,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.45
29833,3192,"[3,4]","[11136]",0.45
29834,3192,"[3,4]","[11101,11103,11104,11106,11127]",0.45
29835,3192,"[3,4]","[11113,11117,11121,11146,11221,11225,11227,11237]",0.5
29836,3192,"[3,4]","[11123,11144,11145,11147,11223,11231,11235]",0.5
29837,3192,"[3,4]","[11112,11114,11120,11124,11130,11132,11140,11141,11142,11143,11216,11220,11224,11232,11234,11245,11247]",0.5
29838,3192,"[3,4]","[11100,11102,11105,11107,11116,11122,11125,11126,11133,11134,11135,11137,11200,11201,11202,11203,11204,11205,11206,11207,11210,11212,11213,11214,11215,11217,11226,11230,11236,11240,11242,11300,11302,11305,11307]",0.5
29839,3192,"[3,4]","[11136]",0.5
29860,3192,"[3,4]","[11101,11103,11104,11106,11127]",0.5
31157,3192,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.4
31158,3192,"[1,2]","[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446,10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",0.4
31160,3192,"[1,2]","[10404,10412,10416,10421,10433,10434,10435,10437,10903,10904,10906,10911,10917,10922,10947]",0.4
31161,3192,"[1,2]","[10402,10423,10424,10427,10436,10900,10901,10902,10905,10907,10920,10924,10946]",0.4
31162,3192,"[1,2]","[10400,10406,10425,10426,10923]",0.4
31163,3192,"[1,2]","[10420,10422,10921]",0.4
31165,3192,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.45
31166,3192,"[1,2]","[10405,10407,10414,10431,10440,10441,10442,10443,10444,10446,10910,10912,10913,10915,10925,10930,10931,10932,10933,10934,10935,10936,10937]",0.45
31167,3192,"[1,2]","[10404,10412,10416,10421,10433,10434,10435,10437,10903,10904,10906,10911,10917,10922,10947]",0.45
31168,3192,"[1,2]","[10402,10423,10424,10427,10436,10900,10901,10902,10905,10907,10920,10924,10946]",0.45
31169,3192,"[1,2]","[10400,10406,10425,10426,10923]",0.45
31170,3192,"[1,2]","[10420,10422,10921]",0.45
31172,3192,"[1,2]","[10401,10403,10411,10413,10415,10445,10447,10914,10916,10941]",0.5
