endpoint,daphne_ch,offline_ch,APA
112,7,0,4
112,1,1,4
112,17,2,4
112,11,3,4
113,7,4,4
112,20,5,4
112,26,6,4
112,30,7,4
112,36,8,4
112,40,9,4
112,5,10,4
112,3,11,4
112,15,12,4
112,13,13,4
113,5,14,4
112,22,15,4
112,24,16,4
112,32,17,4
112,34,18,4
112,42,19,4
112,2,20,4
112,4,21,4
112,12,22,4
112,14,23,4
113,2,24,4
112,25,25,4
112,23,26,4
112,35,27,4
112,33,28,4
112,45,29,4
112,0,30,4
112,6,31,4
112,10,32,4
112,16,33,4
113,0,34,4
112,27,35,4
112,21,36,4
112,37,37,4
112,31,38,4
112,47,39,4
111,6,40,3
111,31,41,3
111,7,42,3
111,30,43,3
111,46,44,3
111,11,45,3
111,17,46,3
111,21,47,3
111,47,48,3
111,20,49,3
111,4,50,3
111,33,51,3
111,5,52,3
111,32,53,3
111,44,54,3
111,13,55,3
111,15,56,3
111,23,57,3
111,45,58,3
111,22,59,3
111,3,60,3
111,34,61,3
111,2,62,3
111,35,63,3
111,43,64,3
111,14,65,3
111,12,66,3
111,24,67,3
111,42,68,3
111,25,69,3
111,1,70,3
111,36,71,3
111,0,72,3
111,37,73,3
111,41,74,3
111,16,75,3
111,10,76,3
111,26,77,3
111,40,78,3
111,27,79,3
109,20,80,2
109,26,81,2
109,30,82,2
109,36,83,2
109,0,84,2
109,6,85,2
109,10,86,2
109,16,87,2
109,40,88,2
109,46,89,2
109,22,90,2
109,24,91,2
109,32,92,2
109,34,93,2
109,2,94,2
109,4,95,2
109,12,96,2
109,14,97,2
109,42,98,2
109,44,99,2
109,25,100,2
109,23,101,2
109,35,102,2
109,33,103,2
109,5,104,2
109,3,105,2
109,15,106,2
109,13,107,2
109,45,108,2
109,43,109,2
109,27,110,2
109,21,111,2
109,37,112,2
109,31,113,2
109,7,114,2
109,1,115,2
109,17,116,2
109,11,117,2
109,47,118,2
109,41,119,2
104,0,120,1
104,6,121,1
104,30,122,1
104,36,123,1
104,10,124,1
104,16,125,1
104,40,126,1
104,27,127,1
104,41,128,1
104,26,129,1
104,2,130,1
104,4,131,1
104,32,132,1
104,34,133,1
104,12,134,1
104,14,135,1
104,42,136,1
104,25,137,1
104,43,138,1
104,24,139,1
104,5,140,1
104,3,141,1
104,35,142,1
104,33,143,1
104,15,144,1
104,13,145,1
104,45,146,1
104,22,147,1
104,44,148,1
104,23,149,1
104,7,150,1
104,1,151,1
104,37,152,1
104,31,153,1
104,17,154,1
104,11,155,1
104,47,156,1
104,20,157,1
104,46,158,1
104,21,159,1
