Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
31519,11121,1400,FBK,6.25,155.3,3.32,50,234,253,237650.28795239914,2251.1182478894793,243068.82350443682,3035.515830432217,0.4934546643586586,0.009572593723974565,0.1582252317477265,0.005613804995705088,0.9682438958673625,0.0026366428971483225,,0.7152548720711749,0.48983482560230146
31522,11121,1500,FBK,6.25,155.3,3.32,50,235,250,241005.66743015818,1130.908833108262,244902.58464068806,1520.0203047035072,,,,,,,1.0352861041390198,,
31525,11121,1600,FBK,6.25,155.3,3.32,50,236,248,239955.04258523084,1121.6036778573296,247004.62849877554,1517.2801164486277,,,,,,,,,
31527,11121,1800,FBK,6.25,155.3,3.32,50,236,247,236016.11296154925,1119.0877613489872,245483.02924869495,1521.7481868106904,,,,,,,,,
31553,11121,1400,FBK,6.25,155.3,3.32,100,230,253,96790.37658272714,1435.8630452257053,106408.82558586201,2007.3564140814353,0.7973613890424168,0.010562725478690804,0.2291971007920416,0.007064926618751841,0.9708126681546788,0.003033474155361149,1.2499967147193676,1.1574043654808959,0.7102096685638402
31556,11121,1500,FBK,6.25,155.3,3.32,100,233,252,88795.88697152481,688.6299406998157,107179.54256694064,1008.7514283195093,,,,,,,1.1249655045533968,,
31558,11121,1600,FBK,6.25,155.3,3.32,100,235,249,84102.61297383021,667.8808265328976,102314.14975555488,982.2020083464071,,,,,,,,,
31561,11121,1800,FBK,6.25,155.3,3.32,100,236,247,81252.7178908207,659.8501647864408,103942.89079783329,995.0903464877035,,,,,,,,,
31602,11121,1400,FBK,6.25,155.3,3.32,150,228,254,56519.62837451929,774.8961113480225,65953.7317573338,1116.0978102676709,0.9997068417098992,0.008221141662922316,0.28859400263920265,0.0053273129636297045,0.9840852384449307,0.0017620070482641248,1.254964059029944,1.301444209364386,0.8655549880535237
31605,11121,1500,FBK,6.25,155.3,3.32,150,231,252,50558.46830011074,517.7117441408078,67112.06230985072,795.2983688551242,,,,,,,1.205238051434357,1.3659364582922715,0.9693445931321503
31607,11121,1600,FBK,6.25,155.3,3.32,150,233,250,48210.96733149744,505.6939918182382,64934.31054284253,782.511492249855,,,,,,,,,
31609,11121,1800,FBK,6.25,155.3,3.32,150,235,248,46907.56498070525,498.6217900762859,66109.92610764655,789.2632501543792,,,,,,,,,
31632,11121,1400,FBK,6.25,155.3,3.32,200,218,252,38354.9504139005,452.3945781900271,48075.90148955611,675.3192562600244,1.0188524622675548,0.006198044242187062,0.29393418297479096,0.004244689606050206,0.985781637364541,0.0014723058299553893,1.2201576058627086,1.314015883236763,0.801990190813937
31635,11121,1500,FBK,6.25,155.3,3.32,200,229,251,34347.744577361875,428.8779781792093,48153.24590577455,677.0740277688116,,,,,,,1.205763696334949,1.3665321891796085,0.8463494689640441
31637,11121,1600,FBK,6.25,155.3,3.32,200,233,250,33496.76887867507,421.31800740299167,49101.98017772279,680.1376290360865,,,,,,,,,
31639,11121,1800,FBK,6.25,155.3,3.32,200,234,248,31832.436515480716,410.92074634336626,48707.299776691405,677.7334030731694,,,,,,,,,
31661,11121,1400,FBK,6.25,155.3,3.32,250,222,253,31362.71905522419,576.8481349693633,40006.21086521155,868.6745249857142,1.1420597870245888,0.017408761982334098,0.2927641309908371,0.013547550275675918,0.9627207693723691,0.00658303727043863,1.5552025704036008,1.6023299210218915,0.9561785356663939
31663,11121,1500,FBK,6.25,155.3,3.32,250,230,252,26315.432048461138,373.65402638119957,38416.7579689542,601.9542796479221,,,,,,,1.609480881856907,1.609480881856907,1.0020492533090815
31665,11121,1600,FBK,6.25,155.3,3.32,250,231,250,24720.14735392912,362.0858086794094,38610.313824630764,603.359810326382,,,,,,,,,
31668,11121,1800,FBK,6.25,155.3,3.32,250,234,248,23986.945718764175,366.73685999302734,38317.31103544937,618.0211457330544,,,,,,,,,
31689,11121,1400,FBK,6.25,155.3,3.32,300,222,251,24867.070351295173,513.4056208954424,29886.652327103642,750.4567702478444,1.2578750672680388,0.017495912432494265,0.1740770426706261,0.013757862594814693,0.9093049546968935,0.006523175092954803,,1.66906711171267,1.2049793060133305
31691,11121,1500,FBK,6.25,155.3,3.32,300,228,252,20318.81622491835,328.2355772151955,31248.840540758214,542.7403889118436,1.4394015510738964,0.01142071674531231,0.38849446802366505,0.006686843374567736,0.9982807626236163,0.00028881159358079556,1.6048814889768037,1.6851255634256437,1.1944413703444559
31693,11121,1600,FBK,6.25,155.3,3.32,300,232,250,18311.292610743814,311.6166923527622,29508.303051969306,527.4387898126163,,,,,,,1.5104767599248279,,
31696,11121,1800,FBK,6.25,155.3,3.32,300,234,248,17986.275088547816,308.7800986072102,31052.049077127445,540.9567626770075,,,,,,,,,
31954,11121,1400,FBK,6.25,155.3,3.32,350,225,252,12713.373310463492,366.54557918756797,15030.12638532675,531.3952144577698,1.3637551216310204,0.006096560058042266,0.09434191420789892,0.003564504013439551,0.9401664610942696,0.0027756912821507163,1.403100647857336,1.3125780254149269,1.3599904005955212
31955,11121,1500,FBK,6.25,155.3,3.32,350,230,252,10761.077014691562,237.44089462469765,14781.200235694481,371.04043195756384,1.4928223104998046,0.009296475788558745,0.29493683004036114,0.007241702425155261,0.9976459102164785,0.0004959535109380075,1.3525138967370505,1.193394614767986,1.3483003242849994
31956,11121,1600,FBK,6.25,155.3,3.32,350,232,249,9864.96375375897,228.67690586777366,15134.641388536062,377.6585874730607,,,,,,,1.5105337047890695,,
31957,11121,1800,FBK,6.25,155.3,3.32,350,233,248,9830.37939055787,230.17484649154,14841.381750462122,377.0931360066605,,,,,,,,,
31966,11121,1400,FBK,6.25,155.3,3.32,400,226,249,10589.314856080198,334.8635380587155,13290.766734920213,500.20460459880195,1.4996642957818025,0.005617699589935632,0.08040399093342485,0.0030107038794995253,0.9285848181024231,0.002976408282532428,0.40608039738754487,1.398721368779321,1.5061163970211249
31967,11121,1500,FBK,6.25,155.3,3.32,400,227,252,8866.53217063718,216.6438617308098,12327.861644879289,340.6058508003861,1.499029232593272,0.0068385575632226026,0.112722602288638,0.005992605762911066,0.9778938247268419,0.0009219126862585192,0.39941346789843046,0.47929616147811616,1.4708414149748348
31968,11121,1600,FBK,6.25,155.3,3.32,400,232,251,8049.318281007442,208.38895112838028,13369.972813493445,358.09572575577886,,,,,,,1.170742604833311,,
31969,11121,1800,FBK,6.25,155.3,3.32,400,233,249,7479.320631907248,199.04203492668927,13371.904686570088,354.8535057257511,,,,,,,,,
31978,11121,1400,FBK,6.25,155.3,3.32,450,226,251,8845.86789261159,434.22657672721135,11595.547309833026,662.8733191964627,1.6148044670343649,0.00802246251750316,0.07818264975013589,0.004539099344384567,0.930049586337118,0.004393129958589759,,0.46362975325352407,1.6207335219189565
31979,11121,1500,FBK,6.25,155.3,3.32,450,228,252,8390.558638308952,210.82071806625845,12571.712437870316,344.0755443795407,1.6198467340225051,0.005973811320075573,0.10914383203594702,0.004811299399813472,0.9776943626720148,0.000886898462459651,1.0469598013062216,0.483212215987487,1.601216919038568
31980,11121,1600,FBK,6.25,155.3,3.32,450,230,250,7205.477912105046,197.9497019053143,11678.614430621914,336.0143719075409,,,,,,,0.5794742236881869,,
31981,11121,1800,FBK,6.25,155.3,3.32,450,232,248,7064.681726237927,193.42592671412348,11806.244723907861,333.3980174250715,,,,,,,,,
31990,11121,1400,FBK,6.25,155.3,3.32,500,226,250,9226.639897108778,313.71516809791746,10619.228449337785,448.7443052945968,1.7841019872382007,0.005148553006031786,0.08674650069875803,0.0033608982337304805,0.938145363981619,0.003168803616173166,,0.5103059253321391,1.789922932587203
31991,11121,1500,FBK,6.25,155.3,3.32,500,230,252,6775.685191839893,191.26317327007146,10721.119588186151,320.7846317514912,1.8106752370636907,0.005050991272791072,0.11317329731354765,0.0041568475057156065,0.9757122947223595,0.0009128473253754987,,0.4813198943453676,1.8039507654940474
31992,11121,1600,FBK,6.25,155.3,3.32,500,231,251,6275.652921893202,257.7101774768599,10780.435823106029,450.35916738106613,,,,,,,,0.5843364390186216,1.748173534044748
31993,11121,1800,FBK,6.25,155.3,3.32,500,233,248,6183.655963229031,254.3616177972277,11123.372862601122,454.86854258955253,,,,,,,0.0,,
