Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated
32219,10945,1400,HPK,7.35,128.9,3.46,150,227,277,67074.7174286678,837.5184324827159,69326.57625097939,1135.2815005366183,,,,,,,,1.5288706638590832,0.8065810379337298,0.7527814773584847
32220,10945,1800,HPK,7.35,128.9,3.46,150,227,262,64074.49157723682,819.2490162398753,69068.65435415947,1134.1032060805378,0.8619678561372183,0.0077762603650722295,0.3010950404048042,0.005141311639292101,0.9882606621600403,0.001796769019940636,1.2395861370149235,1.3489613843985933,0.7276690075306369,0.7527814773584847
32221,10945,2200,HPK,7.35,128.9,3.46,150,229,257,63029.34606174565,812.0828140289535,65512.57394996848,1103.9006450632007,0.8727324718789375,0.009258943022997401,0.300986545485729,0.006271755440925619,0.9882384489090057,0.0012158440949493476,1.223163819445543,1.321016925001186,0.7162539456095901,0.7527814773584847
32222,10945,2800,HPK,7.35,128.9,3.46,150,232,254,62854.86635599122,810.9124072273931,70508.29955779338,1145.1525612023306,,,,,,,1.2729374139104923,1.3365842846060172,0.7498245321623407,0.7527814773584847
32223,10945,3400,HPK,7.35,128.9,3.46,150,232,253,61250.371201703645,800.0605646271865,70524.60796046698,1144.6628255464477,,,,,,,1.1438625100932436,,,0.7527814773584847
32224,10945,4000,HPK,7.35,128.9,3.46,150,233,251,62620.695231599515,813.6675920864507,69468.12676038548,1142.666793691893,,,,,,,,,,0.7527814773584847
32231,10945,1400,HPK,7.35,128.9,3.46,200,222,278,47393.61075564741,704.0035461843348,50493.69297336015,968.8850442883514,,,,,,,1.5173366476148589,1.6152293345577529,0.9531561840229904,0.9185398657610455
32232,10945,1800,HPK,7.35,128.9,3.46,200,223,260,43920.95026358508,682.4434668744032,50031.096947070044,971.1572703509505,0.9974714443713597,0.007939140254902999,0.32848695179583604,0.0053149139510191845,0.9958610610547959,0.0012947042252473562,1.3169202514209584,1.4266636057060382,0.8835897702964259,0.9185398657610455
32233,10945,2200,HPK,7.35,128.9,3.46,200,227,258,42181.13825455833,664.7853032119903,48949.39839177757,954.8489570556792,,,,,,,1.291093396241346,1.43454821804594,0.8510111800653157,0.9185398657610455
32234,10945,2800,HPK,7.35,128.9,3.46,200,229,253,41400.28785647343,658.0599586635524,51881.10858213951,982.2163197694364,,,,,,,1.2050038789759503,1.3952676493405738,0.9140683797844437,0.9185398657610455
