SiPMChannel,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty,ThresholdFitCalibrated,LED
11121,FBK,6.25,155.3,3.32,50,236,249,238893.3882,623.4875557,245593.0944,842.8931742,,,,,,,1.115457902,,,0.249305846,999
11121,FBK,6.25,155.3,3.32,100,234,250,85649.54319,374.9101876,104623.5138,552.4819629,,,,,,,1.113986097,,,0.428448708,999
11121,FBK,6.25,155.3,3.32,150,232,251,49694.35939,274.4079299,66038.25509,421.773841,,,,,,,1.286043909,,,0.607591569,999
11121,FBK,6.25,155.3,3.32,200,230,251,34502.41565,214.2883182,48511.2399,338.7924075,,,,,,,1.268642872,,,0.786734431,999
11121,FBK,6.25,155.3,3.32,250,230,251,25945.44813,199.8466155,38676.24044,325.3322165,,,,,,,1.648300853,,,0.965877292,999
11121,FBK,6.25,155.3,3.32,300,229,250,19728.81077,172.8736149,30500.75223,286.5974168,,,,,,,1.655022537,,,1.145020154,999
11121,FBK,6.25,155.3,3.32,350,230,251,10523.08392,126.2992376,14934.90344,200.617659,,,,,,,1.285599301,,,1.324163015,999
11121,FBK,6.25,155.3,3.32,400,229,251,8485.274759,113.6024582,13059.72861,187.9146272,,,,,,,1.293548585,0.923963275,1.487414387,1.503305877,999
11121,FBK,6.25,155.3,3.32,450,229,250,7655.98781,112.1763981,11988.93869,187.1673023,,,,,,,,0.371149104,1.602419341,1.682448738,999
11121,FBK,6.25,155.3,3.32,500,228,251,7044.204172,122.549605,10794.66962,202.2736737,,,,,,,,0.52382157,1.793340487,1.8615916,999
11121,FBK,6.25,155.3,3.32,550,226,252,6635.379159,104.162099,9398.031135,165.2852227,2.041116024,0.003015482,0.117444126,0.00246993,0.983002646,0.000460003,0.424050882,0.424050882,2.028877388,2.040734461,999
11121,FBK,6.25,155.3,3.32,600,228,252,5910.785363,88.34869731,8390.486302,140.3491732,2.279906525,0.003605698,0.124387558,0.002540245,0.989313851,0.000327838,0.542892624,0.542892624,2.255242443,2.219877323,999
11121,FBK,6.25,155.3,3.32,650,226,251,5384.689521,93.67865523,7634.466982,148.7265184,2.435802926,0.003389878,0.100729915,0.002001338,0.98698194,0.000406578,0.373304248,0.373304248,2.42251583,2.399020185,999
11121,FBK,6.25,155.3,3.32,700,227,251,5126.124794,82.35867795,7017.142321,128.4794469,2.544982132,0.003083822,0.090629959,0.001823992,0.98782366,0.000337546,0.359909063,0.359909063,2.533256031,2.578163046,999
11121,FBK,6.25,155.3,3.32,750,228,252,4796.581589,88.74952916,6918.725469,142.1189288,2.69508067,0.002970271,0.099200956,0.001865294,0.9836051,0.000462589,0.423420109,0.564560145,2.690106097,2.757305908,999
11121,FBK,6.25,155.3,3.32,800,226,251,4371.00291,84.37034789,6181.216236,133.7750115,2.915495108,0.003601041,0.113707199,0.002534338,0.991711182,0.000313634,0.559686978,0.559686978,2.908271851,2.936448769,999
11121,FBK,6.25,155.3,3.32,850,227,251,4157.78953,74.84530119,5856.294607,118.4359327,3.14758822,0.003132149,0.105158539,0.002053394,0.98988916,0.000318501,0.362055447,0.362055447,3.141997867,3.115591631,999
11121,FBK,6.25,155.3,3.32,900,225,251,4169.773838,82.44460282,5271.353392,123.5963891,3.338528787,0.003458488,0.098229297,0.002029553,0.989991474,0.000373145,0.371414116,0.371414116,3.332537111,3.294734492,999
11121,FBK,6.25,155.3,3.32,950,230,250,3895.583521,71.84538144,5368.42621,112.4539786,3.470628962,0.003224204,0.092301221,0.001833174,0.989494589,0.000329127,0.359795174,0.359795174,3.464490197,3.473877354,999
11121,FBK,6.25,155.3,3.32,1000,225,251,3738.381212,70.3105801,5000.376897,108.4223947,3.602830926,0.003210077,0.100306466,0.001863934,0.990164275,0.000320562,0.541043011,0.541043011,3.598228707,3.653020215,999
11121,FBK,6.25,155.3,3.32,1050,227,251,3475.860154,67.82892499,4734.488029,105.5501937,3.797563142,0.003015297,0.104645372,0.001979352,0.990491531,0.000319133,0.542041736,0.542041736,3.795190418,3.832163077,999
11121,FBK,6.25,155.3,3.32,1100,227,251,3259.143,72.89487896,4652.036698,116.1196221,4.027359793,0.003349614,0.105738995,0.002313693,0.991572578,0.000305485,0.557531834,0.557531834,4.023917202,4.011305939,999
11121,FBK,6.25,155.3,3.32,1150,226,251,3456.089967,67.74043094,4647.656905,104.7396703,4.247914726,0.003413226,0.103991181,0.001999285,0.991585502,0.000306863,0.359920014,0.539880022,4.26656726,4.1904488,999
