Run,SiPMChannel,LED,SiPM,SpeAmpl,SpeCharge,SNR,ThresholdSet,AccWinLow,AccWinUp,BkgTrgRate,ErrBkgTrgRate,BkgTrgRatePreLED,ErrBkgTrgRatePreLED,ThresholdFit,ErrThresholdFit,TauFit,ErrTauFit,MaxEffFit,ErrMaxEffFit,10to90,10to90Fit,fifty
31503,10441,1400,HPK,7.6,148.2,3.42,50,237,259,289652.8080133735,1743.8209577829107,289198.3151615022,2314.104938867597,,,,,,,,1.0007172686409942,0.5810074845611507
31505,10441,1800,HPK,7.6,148.2,3.42,50,237,255,287215.9395883095,1735.22994355916,286788.4281701308,2302.797370030774,,,,,,,,0.9697861653932955,0.5164728060546537
31508,10441,2200,HPK,7.6,148.2,3.42,50,238,252,287300.11862714577,1735.516815353902,281769.58548250905,2282.6016584038393,,,,,,,1.406494144372303,,
31510,10441,2800,HPK,7.6,148.2,3.42,50,238,250,296534.816193667,1774.830466609561,286102.3292289484,2315.2712289924557,,,,,,,,,
31512,10441,3400,HPK,7.6,148.2,3.42,50,239,249,303154.34997528425,1783.6312247158996,292151.21616643114,2325.4080010251814,,,,,,,,,
31515,10441,4000,HPK,7.6,148.2,3.42,50,239,249,305545.97770680086,1791.326924768084,299335.88924690644,2354.713707756697,,,,,,,,,
31538,10441,1400,HPK,7.6,148.2,3.42,100,232,273,142810.69194791157,1240.332419321632,139613.98140162404,1628.712158054947,,,,,,,1.2275199743082292,1.112439976716833,0.6519297889634256
31540,10441,1800,HPK,7.6,148.2,3.42,100,234,258,144934.246615862,1233.8516524032561,145138.53708654598,1639.8002856201028,,,,,,,1.2299191346020872,1.0932614529796332,0.5839862368390787
31542,10441,2200,HPK,7.6,148.2,3.42,100,236,253,143263.28446322528,1225.7267324461502,143479.71359251745,1629.0844766692244,,,,,,,1.4161025924391053,,
31545,10441,2800,HPK,7.6,148.2,3.42,100,237,251,151722.06113926705,1261.9864989942641,151205.48186245165,1673.1553203458839,,,,,,,,,
31547,10441,3400,HPK,7.6,148.2,3.42,100,238,250,153437.79535910295,1268.600942858877,147016.2091891735,1649.1631184822584,,,,,,,,,
31550,10441,4000,HPK,7.6,148.2,3.42,100,238,249,156448.99859206396,1281.4221573057448,149818.5220640679,1665.37000501675,,,,,,,,,
31588,10441,1400,HPK,7.6,148.2,3.42,150,231,271,87494.87732451898,958.3625280742522,87094.07938003236,1269.8574648722213,,,,,,,,1.409291787244488,0.8685432688804497
31591,10441,1800,HPK,7.6,148.2,3.42,150,230,257,85119.64634880048,945.0158063332876,90046.0645021463,1290.858635050835,0.92543654521258,0.008710734030874578,0.29584403968502454,0.006119447794008415,0.9890433759064376,0.0013691564422875224,1.2359016863782792,1.3045628911770724,0.7847143532549229
31593,10441,2200,HPK,7.6,148.2,3.42,150,234,255,84047.76220957286,942.4550882752619,88221.81211516427,1282.353383126015,,,,,,,1.107161706001309,,
31595,10441,2800,HPK,7.6,148.2,3.42,150,236,251,87118.92374644511,956.4272835385809,93302.62705232445,1314.5127124044388,,,,,,,,,
31598,10441,3400,HPK,7.6,148.2,3.42,150,237,250,92055.02131875567,982.594737255491,96471.71401248038,1335.8965809078436,,,,,,,,,
31600,10441,4000,HPK,7.6,148.2,3.42,150,237,250,91151.36211187135,978.201360177814,92985.31520799827,1312.127426729836,,,,,,,,,
31616,10441,1400,HPK,7.6,148.2,3.42,200,228,264,59200.93365921034,1116.9987482869876,62301.01590802169,1521.8018978211833,,,,,,,,1.3665933458722266,1.0040700786300485
