Run,LED,Threshold,ThresholdDecimal
34941,1200,064,100
34942,1200,096,150
34943,1200,0c8,200
34945,1200,0fa,250
34946,1200,12c,300
34947,1200,15e,350
34948,1200,190,400
34949,1200,1c2,450
34950,1200,1f4,500
34951,1200,226,550
34952,1200,258,600
34954,1200,28a,650
34955,1200,2bc,700
34956,1200,2ee,750
34957,1200,320,800
34958,1200,352,850
34959,1200,384,900
34960,1200,3b6,950
34961,1200,3e8,1000
34962,1200,41a,1050
34963,1200,44c,1100
34964,1200,47e,1150
34965,1200,4b0,1200
34966,1200,4e2,1250
34967,1200,514,1300
34968,1200,546,1350
34969,1200,578,1400
34970,1200,5aa,1450
34971,1200,5dc,1500
34973,1200,60e,1550
34974,1200,640,1600
34975,1200,672,1650
34976,1200,6a4,1700
34978,1200,6d6,1750
34979,1200,708,1800
34981,1200,73a,1850
34983,1200,76c,1900
99999,1200,79e,1950
34984,1200,7d0,2000
34985,1250,064,100
34986,1250,096,150
34987,1250,0c8,200
34988,1250,0fa,250
34989,1250,12c,300
34990,1250,15e,350
34992,1250,190,400
34993,1250,1c2,450
34994,1250,1f4,500
34995,1250,226,550
34997,1250,258,600
34998,1250,28a,650
34999,1250,2bc,700
35000,1250,2ee,750
35001,1250,320,800
35003,1250,352,850
35005,1250,384,900
35006,1250,3b6,950
35007,1250,3e8,1000
35008,1250,41a,1050
35011,1250,44c,1100
35012,1250,47e,1150
35013,1250,4b0,1200
35014,1250,4e2,1250
35015,1250,514,1300
35016,1250,546,1350
35017,1250,578,1400
35018,1250,5aa,1450
35019,1250,5dc,1500
35020,1250,60e,1550
35021,1250,640,1600
35022,1250,672,1650
35023,1250,6a4,1700
35025,1250,6d6,1750
99999,1250,708,1800
99999,1250,73a,1850
35028,1250,76c,1900
35029,1250,79e,1950
35030,1250,7d0,2000
35032,1160,064,100
35033,1160,096,150
35034,1160,0c8,200
35035,1160,0fa,250
35036,1160,12c,300
35037,1160,15e,350
35038,1160,190,400
35039,1160,1c2,450
35040,1160,1f4,500
35041,1160,226,550
35042,1160,258,600
35043,1160,28a,650
35044,1160,2bc,700
35045,1160,2ee,750
35046,1160,320,800
35047,1160,352,850
35048,1160,384,900
35049,1160,3b6,950
35050,1160,3e8,1000
