run,channels
29823,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
29824,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
29825,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
29826,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
29827,[11136]
29828,"[11101, 11103, 11104, 11106, 11127]"
29829,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
29830,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
29831,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
29832,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
29833,[11136]
29834,"[11101, 11103, 11104, 11106, 11127]"
29835,"[11113, 11117, 11121, 11146, 11221, 11225, 11227, 11237]"
29836,"[11123, 11144, 11145, 11146, 11223, 11231, 11235]"
29837,"[11112, 11114, 11120, 11124, 11130, 11132, 11140, 11141, 11142, 11143, 11216, 11220, 11224, 11232, 11234, 11245, 11247]"
29838,"[11100, 11102, 11105, 11107, 11116, 11122, 11125, 11126, 11133, 11134, 11135, 11137, 11200, 11201, 11202, 11203, 11204, 11205, 11206, 11207, 11210, 11212, 11213, 11214, 11215, 11217, 11226, 11230, 11236, 11240, 11242, 11300, 11302, 11305, 11307]"
29839,[11136]
29860,"[11101, 11103, 11104, 11106, 11127]"
31157,"[10401, 10403, 10411, 10413, 10415, 10445, 10447, 10914, 10916, 10941]"
31158,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446, 10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
31160,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437, 10903, 10904, 10906, 10911, 10917, 10922, 10947]"
31161,"[10402, 10423, 10424, 10427, 10436, 10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
31162,"[10400, 10406, 10425, 10426, 10923]"
31163,"[10420, 10422, 10921]"
31165,"[10401, 10403, 10411, 10413, 10415, 10445, 10447, 10914, 10916, 10941]"
31166,"[10405, 10407, 10414, 10431, 10440, 10441, 10442, 10443, 10444, 10446, 10910, 10912, 10913, 10915, 10925, 10930, 10931, 10932, 10933, 10934, 10935, 10936, 10937]"
31167,"[10404, 10412, 10416, 10421, 10433, 10434, 10435, 10437, 10903, 10904, 10906, 10911, 10917, 10922, 10947]"
31168,"[10402, 10423, 10424, 10427, 10436, 10900, 10901, 10902, 10905, 10907, 10920, 10924, 10946]"
31169,"[10400, 10406, 10425, 10426, 10923]"
31170,"[10420, 10422, 10921]"
