Run,SiPM,Integrators,VGain,DaphneCh,OfflineCh,RMS
26319,HPK,ON,2700,11200,30,2.7989073824658055
26319,HPK,ON,2700,11201,1,2.754019253998176
26319,HPK,ON,2700,11202,20,2.8432293963417044
26319,HPK,ON,2700,11203,11,2.796107940374925
26319,HPK,ON,2700,11204,21,2.7240078892617583
26319,HPK,ON,2700,11205,10,2.8555252153677677
26319,HPK,ON,2700,11206,31,2.8361517720781313
26319,HPK,ON,2700,11207,0,2.949877832695805
26319,HPK,ON,2700,11210,32,2.753551651980024
26319,HPK,ON,2700,11211,3,2.730427142922814
26319,HPK,ON,2700,11212,22,2.7721120051038373
26319,HPK,ON,2700,11213,13,2.802084562597393
26319,HPK,ON,2700,11214,23,2.799793205926665
26319,HPK,ON,2700,11215,12,2.831610313329368
26319,HPK,ON,2700,11216,33,2.674893187707442
26319,HPK,ON,2700,11217,2,2.7501482742965284
26319,HPK,ON,2700,11220,5,2.8776835996872867
26319,HPK,ON,2700,11221,36,2.9064822105361556
26319,HPK,ON,2700,11222,15,3.0973253792010826
26319,HPK,ON,2700,11223,26,2.942823183614799
26319,HPK,ON,2700,11224,16,2.8105254168921494
26319,HPK,ON,2700,11225,25,2.887793631862136
26319,HPK,ON,2700,11226,6,2.7929741936769825
26319,HPK,ON,2700,11227,35,2.950039469366744
26319,HPK,ON,2700,11230,7,2.873106316260436
26319,HPK,ON,2700,11231,38,2.804043966539171
26319,HPK,ON,2700,11232,17,2.806902623398843
26319,HPK,ON,2700,11233,28,2.9617044132318258
26319,HPK,ON,2700,11234,18,2.873849925405835
26319,HPK,ON,2700,11235,27,2.7832682703517384
26319,HPK,ON,2700,11236,8,2.7430002108293983
26319,HPK,ON,2700,11237,37,2.710213416447671
26319,HPK,ON,2700,11240,9,2.9291007865806695
26319,HPK,ON,2700,11242,19,3.036730198088535
26319,HPK,ON,2700,11245,29,2.7880445302785386
26319,HPK,ON,2700,11247,39,2.803931107328549
26319,FBK,ON,2700,11300,34,2.8652573141029216
26319,FBK,ON,2700,11302,24,2.8575544729071294
26319,FBK,ON,2700,11305,14,3.123523827420027
26319,FBK,ON,2700,11307,4,3.3271813301377304
26319,FBK,ON,2700,11100,72,2.6786777699358404
26319,FBK,ON,2700,11101,70,2.741812101812445
26319,FBK,ON,2700,11102,62,2.602526985311158
26319,FBK,ON,2700,11103,60,2.8343047926057454
26319,FBK,ON,2700,11104,50,2.813430632711979
26319,FBK,ON,2700,11105,52,2.884554868503292
26319,FBK,ON,2700,11106,40,2.8450336288564513
26319,FBK,ON,2700,11107,42,2.6670648288638388
26319,FBK,ON,2700,11110,76,2.8402667408704563
26319,FBK,ON,2700,11111,45,2.6448544566788903
26319,FBK,ON,2700,11112,66,2.855768819727688
26319,FBK,ON,2700,11113,55,2.6282863622689496
26319,FBK,ON,2700,11114,65,2.6838744957927454
26319,FBK,ON,2700,11115,56,2.822410595927237
26319,FBK,ON,2700,11116,75,2.791362867397307
26319,FBK,ON,2700,11117,46,2.8804407896385333
26319,FBK,ON,2700,11120,49,2.832671657177938
26319,FBK,ON,2700,11121,47,2.8253278233012757
26319,FBK,ON,2700,11122,59,2.681280974937572
26319,FBK,ON,2700,11123,57,2.796275434307876
26319,FBK,ON,2700,11124,67,2.776423045018355
26319,FBK,ON,2700,11125,69,2.7001295112053203
26319,FBK,ON,2700,11126,77,2.786369969498279
26319,FBK,ON,2700,11127,79,2.67816984317139
26319,HPK,ON,2700,11130,43,2.802196698774484
26319,HPK,ON,2700,11131,41,2.7790153089119665
26319,HPK,ON,2700,11132,53,2.8881170714165143
26319,HPK,ON,2700,11133,51,2.8869124491463865
26319,HPK,ON,2700,11134,61,2.7162636805401994
26319,HPK,ON,2700,11135,63,2.809546594127442
26319,HPK,ON,2700,11136,71,2.7517500358440503
26319,HPK,ON,2700,11137,73,2.695318323254632
26319,HPK,ON,2700,11140,78,2.8164992842628536
26319,HPK,ON,2700,11141,74,2.737548971617643
26319,HPK,ON,2700,11142,68,2.8563869702990483
26319,HPK,ON,2700,11143,64,2.9426229882065678
26319,HPK,ON,2700,11144,54,2.721015264547725
26319,HPK,ON,2700,11145,58,2.863976753374912
26319,HPK,ON,2700,11146,44,2.776431652048454
26319,HPK,ON,2700,11147,48,2.7908159496323153
26363,HPK,ON,2700,11200,30,2.8000446030304396
26363,HPK,ON,2700,11201,1,2.758143748804873
26363,HPK,ON,2700,11202,20,2.8436051108200004
26363,HPK,ON,2700,11203,11,2.796753256093503
26363,HPK,ON,2700,11204,21,2.7274698531598722
26363,HPK,ON,2700,11205,10,2.8500945271282108
26363,HPK,ON,2700,11206,31,2.8358832239414147
26363,HPK,ON,2700,11207,0,2.9426625115654415
26363,HPK,ON,2700,11210,32,2.7546575390925705
26363,HPK,ON,2700,11211,3,2.730832513986685
26363,HPK,ON,2700,11212,22,2.775426103342728
26363,HPK,ON,2700,11213,13,2.805418244342619
26363,HPK,ON,2700,11214,23,2.8034270087300626
26363,HPK,ON,2700,11215,12,2.8316977475444047
26363,HPK,ON,2700,11216,33,2.675166373276375
26363,HPK,ON,2700,11217,2,2.7551119663422288
26363,HPK,ON,2700,11220,5,2.8836378957871
26363,HPK,ON,2700,11221,36,2.9082919297563454
26363,HPK,ON,2700,11222,15,3.0984413484263587
26363,HPK,ON,2700,11223,26,2.9472780398511187
26363,HPK,ON,2700,11224,16,2.8159718227396366
26363,HPK,ON,2700,11225,25,2.8841848904941148
26363,HPK,ON,2700,11226,6,2.7951790921221873
26363,HPK,ON,2700,11227,35,2.945311548130998
26363,HPK,ON,2700,11230,7,2.8762942694256965
26363,HPK,ON,2700,11231,38,2.8064610298354493
26363,HPK,ON,2700,11232,17,2.8046474505416965
26363,HPK,ON,2700,11233,28,2.961658276279121
26363,HPK,ON,2700,11234,18,2.8761911904628654
26363,HPK,ON,2700,11235,27,2.7816352223317993
26363,HPK,ON,2700,11236,8,2.742849429808353
26363,HPK,ON,2700,11237,37,2.7061844621791136
26363,HPK,ON,2700,11240,9,2.926834445604447
26363,HPK,ON,2700,11242,19,3.036967196920489
26363,HPK,ON,2700,11245,29,2.7859389608656
26363,HPK,ON,2700,11247,39,2.7984864695554723
26363,FBK,ON,2700,11300,34,2.874604762654754
26363,FBK,ON,2700,11302,24,2.8643793648072564
26363,FBK,ON,2700,11305,14,3.1360050941134068
26363,FBK,ON,2700,11307,4,3.3410662525799975
26363,FBK,ON,2700,11100,72,2.685288456402037
26363,FBK,ON,2700,11101,70,2.742042610133582
26363,FBK,ON,2700,11102,62,2.608462431479386
26363,FBK,ON,2700,11103,60,2.834156657454437
26363,FBK,ON,2700,11104,50,2.8099544315912284
26363,FBK,ON,2700,11105,52,2.888967976025476
26363,FBK,ON,2700,11106,40,2.8494233380244602
26363,FBK,ON,2700,11107,42,2.6710475209984152
26363,FBK,ON,2700,11110,76,2.843831179340763
26363,FBK,ON,2700,11111,45,2.643680047369418
26363,FBK,ON,2700,11112,66,2.856908856517308
26363,FBK,ON,2700,11113,55,2.626569001321978
26363,FBK,ON,2700,11114,65,2.6809551299440675
26363,FBK,ON,2700,11115,56,2.828561585006762
26363,FBK,ON,2700,11116,75,2.7918090177127235
26363,FBK,ON,2700,11117,46,2.8790285489471583
26363,FBK,ON,2700,11120,49,2.832613773231044
26363,FBK,ON,2700,11121,47,2.831694565469793
26363,FBK,ON,2700,11122,59,2.677923190437877
26363,FBK,ON,2700,11123,57,2.797309136073637
26363,FBK,ON,2700,11124,67,2.7808851891366677
26363,FBK,ON,2700,11125,69,2.709715948008908
26363,FBK,ON,2700,11126,77,2.7849867510387893
26363,FBK,ON,2700,11127,79,2.6752881730065208
26363,HPK,ON,2700,11130,43,2.8027691302328415
26363,HPK,ON,2700,11131,41,2.7839620111150754
26363,HPK,ON,2700,11132,53,2.8869636977121407
26363,HPK,ON,2700,11133,51,2.8862327300129973
